Time,winter_in_Megawatts,summer_in_Megawatts,monsoon_in_Megawatts,fall_in_Megawatts
07:00 - 07:15,35.6075991836735,24.7920778640777,26.2312710144928,24.6745276502732
07:15 - 07:30,35.9962668221574,25.0257323300971,26.5559514492754,24.6781298360656
07:30 - 07:45,36.177499941691,25.4898027184466,27.0698565217391,24.6231099453552
07:45 - 08:00,36.2909823906706,25.977814368932,27.7434101449275,24.6115908196721
08:00 - 08:15,36.1872198250729,26.6071963106796,28.4899768115942,24.6086487431694
08:15 - 08:30,35.9313451895044,27.2874991262136,29.151952173913,24.5650819672131
08:30 - 08:45,35.7002819825073,27.8575482524272,29.6659137681159,24.5737049180328
08:45 - 09:00,35.5725488046647,28.3151033009709,30.1253369565217,24.4999071038251
09:00 - 09:15,35.218346122449,28.7297942718447,30.6424884057971,24.4645519125683
09:15 - 09:30,34.7916142274052,29.0497639805825,30.9852811594203,24.423956284153
09:30 - 09:45,34.3522756851312,29.3143422330097,31.2160971014493,24.3715409836066
09:45 - 10:00,33.9328256559767,29.5711094174757,31.4908594202899,24.3139453551913
10:00 - 10:15,33.3765401749271,29.751397961165,31.4352934782609,24.1301420765027
10:15 - 10:30,32.8138927113703,29.880863592233,31.5953652173913,23.9034972677596
10:30 - 10:45,32.1285843731778,29.9538695145631,31.6151913043478,23.6682404371585
10:45 - 11:00,31.3992703206997,29.9090866019417,31.5499797101449,23.3289398907104
11:00 - 11:15,30.6376693877551,30.0103650485437,31.5480231884058,23.0791038251366
11:15 - 11:30,30.1367778425656,30.1981605825243,31.5916094202899,22.9094574863388
11:30 - 11:45,29.6118285714286,30.2487572815534,31.6805760869565,22.8648249180328
11:45 - 12:00,29.1963475218659,30.3474122330097,31.8566557971014,22.8039016393443
12:00 - 12:15,28.8271486880466,30.4358747572816,31.8692072463768,22.7054963934426
12:15 - 12:30,28.425306122449,30.5216486407767,31.888652173913,22.5450810928962
12:30 - 12:45,27.9843381924198,30.527222038835,31.84345,22.3529412021858
12:45 - 13:00,27.6388688046647,30.585737961165,31.8945804347826,22.1523656830601
13:00 - 13:15,27.1353935860058,30.3829642718447,31.609581884058,21.7825954098361
13:15 - 13:30,26.385749271137,30.1715323300971,31.1275869565217,21.1536402185792
13:30 - 13:45,25.4038483965015,29.4704302912621,30.4969594202899,20.4093328961749
13:45 - 14:00,24.6807463556851,29.0803459223301,30.0818891304348,19.8378655737705
14:00 - 14:15,24.0222973760933,28.8778246601942,29.7393608695652,19.3198684153005
14:15 - 14:30,23.4732944606414,28.6066027184466,29.4552920289855,18.8994968306011
14:30 - 14:45,22.9296093294461,28.3563275728155,29.0770695652174,18.4422797814208
14:45 - 15:00,22.396139941691,27.93646,28.6978065217391,18.0410627322404
15:00 - 15:15,22.0302973760933,27.7357636893204,28.4001239130435,17.7339890710383
15:15 - 15:30,21.6528489795918,27.6163411650485,28.186852173913,17.5461639344262
15:30 - 15:45,21.526106122449,27.5756378640777,28.0469688405797,17.5174207650273
15:45 - 16:00,21.5998029154519,27.4862122330097,27.9952724637681,17.6314754098361
16:00 - 16:15,21.8878728862974,27.4431123300971,28.0227376811594,17.9222076502732
16:15 - 16:30,22.1485760932945,27.3692926213592,27.8665768115942,18.1986448087432
16:30 - 16:45,22.8271440233236,27.3700105825243,27.8259985507246,18.6626885245902
16:45 - 17:00,23.7576209912536,27.3715741747573,27.9896420289855,19.3412021857924
17:00 - 17:15,24.9110437317784,27.3452568932039,28.2261579710145,20.2621639344262
17:15 - 17:30,26.0470927113703,27.1286815533981,28.267631884058,21.1645464480874
17:30 - 17:45,27.284549271137,26.7250859223301,27.9298152173913,22.1918032786885
17:45 - 18:00,28.7186577259475,26.2455801941748,27.6620557971014,23.500349726776
18:00 - 18:15,30.0055113702624,25.6620276699029,27.3732992753623,24.6207650273224
18:15 - 18:30,31.1151696793003,25.2930112621359,27.4686485507246,25.2379672131148
18:30 - 18:45,31.9924816326531,25.2409940776699,27.6292760869565,25.368262295082
18:45 - 19:00,32.6285994169096,25.5887814563107,28.0387710144928,25.336306010929
19:00 - 19:15,32.933566180758,26.0831666990291,28.5844217391304,25.2253989071038
19:15 - 19:30,33.126293877551,26.8817048543689,29.298802173913,25.0606557377049
19:30 - 19:45,33.2739206997085,27.6318976699029,29.9777702898551,24.9667978142076
19:45 - 20:00,33.3528536443149,28.3503249514563,30.5534115942029,24.8019890710382
20:00 - 20:15,33.1303510204082,28.7982710679612,30.7602028985507,24.4833879781421
20:15 - 20:30,32.9241889212828,29.0891495145631,30.8906094202899,24.1747322404372
20:30 - 20:45,32.4638367346939,29.2060895145631,30.8933652173913,23.7650491803279
20:45 - 21:00,31.8741224489796,29.1365711650485,30.7335956521739,23.2479344262295
21:00 - 21:15,30.8275195335277,28.8455330097087,30.3082398550725,22.4775737704918
21:15 - 21:30,29.9413084548105,28.5980833980583,29.9494601449275,21.7986010928962
21:30 - 21:45,28.8920069970845,28.2207547572816,29.5241688405797,21.0583825136612
21:45 - 22:00,27.5873632653061,27.788704368932,28.998318115942,20.1856393442623
22:00 - 22:15,25.7795976676385,27.1366023300971,28.1722166666667,19.0991475409836
22:15 - 22:30,24.3795137026239,26.6670818446602,27.5968855072464,18.2042841530055
22:30 - 22:45,23.0671335276968,26.1120798058252,27.0463594202899,17.4148633879781
22:45 - 23:00,21.8205084548105,25.6528570873786,26.5084195652174,16.7185136612022
23:00 - 23:15,20.5821516034985,25.058373592233,25.8561210144928,16.0486775956284
23:15 - 23:30,19.6680163265306,24.6709991262136,25.4312615942029,15.5330928961749
23:30 - 23:45,18.9243125364431,24.3939812621359,25.1152268115942,15.1173333333333
23:45 - 24:00,18.3580618075802,24.190104368932,24.8272398550725,14.7786666666667
TOTAL IN Mus,0.630559744344023,0.634741406092233,0.663082509057971,0.481756215519126
