"","Time","Central","East","NewD","North","NorthE","NorthW","South","SouthW","West"
"53","13:00 - 13:15",219.439660087379,219.439660087379,251.933399223301,551.768678577115,219.439660087379,332.329018489737,508.365496707673,538.748460979518,840.69451519741
"54","13:15 - 13:30",218.844674004854,218.844674004854,250.871114757282,546.364205536662,218.844674004854,327.519531531808,508.84186531609,539.013397646187,836.361396847898
"55","13:30 - 13:45",220.133473296117,220.133473296117,250.128170097087,552.073451300417,220.133473296117,331.9399780043,513.43430531609,542.904735607352,845.37428332039
"56","13:45 - 14:00",222.401762364078,222.401762364078,249.835689902913,563.439451921774,222.401762364078,341.037689557697,519.00211140023,548.08245732256,860.039800957927
"57","14:00 - 14:15",224.887295805825,224.887295805825,249.635832038835,572.242915946049,224.887295805825,347.355620140223,525.486101756217,554.363926416411,872.84172189644
"58","14:15 - 14:30",227.126065694175,227.126065694175,249.177764854369,579.963781562551,227.126065694175,352.837715868377,530.569375173693,559.17597789214,883.40709104207
"59","14:30 - 14:45",229.828915072816,229.828915072816,250.411690291262,587.549838352196,229.828915072816,357.72092327938,536.599959231947,564.956286804762,894.320882511327
"60","14:45 - 15:00",230.959728427185,230.959728427185,251.460957087379,590.870512515628,230.959728427185,359.910784088443,540.100958390523,568.037418390523,900.011742478967
"61","15:00 - 15:15",232.282956820388,232.282956820388,251.716211262136,593.959242559315,232.282956820388,361.676285738927,542.592890235183,570.328653924504,904.26917597411
"62","15:15 - 15:30",232.299719684466,232.299719684466,251.277605242718,594.284516556079,232.299719684466,361.984796871613,543.124754377577,570.741095542625,905.10955124919
"63","15:30 - 15:45",231.851985995146,231.851985995146,250.375545825243,593.989144225982,231.851985995146,362.137158230837,542.277538714147,569.853176578224,904.414696944983
"64","15:45 - 16:00",231.396946456311,231.396946456311,248.784313980583,592.822117535044,231.396946456311,361.425171078733,541.814877937447,569.301090170456,903.24004901618
"65","16:00 - 16:15",231.919568242718,231.919568242718,247.381072038835,592.162493204948,231.919568242718,360.24292496223,540.37412097952,567.817233309617,900.61704594175
"66","16:15 - 16:30",230.882179791262,230.882179791262,244.320359223301,588.585310158022,230.882179791262,357.70313036676,537.817499231947,565.186791853306,895.520629598707
"67","16:30 - 16:45",229.830552830097,229.830552830097,241.561065825243,584.633528730837,229.830552830097,354.80297590074,534.217350364633,561.587360947158,889.020326265373
"68","16:45 - 17:00",228.688774529126,228.688774529126,238.074831067961,579.996029361906,228.688774529126,351.30725483278,529.808094765927,557.179668940684,881.115349598707
"69","17:00 - 17:15",227.723583126213,227.723583126213,232.625533203883,575.00275621142,227.723583126213,347.279173085207,524.66306680476,552.008323697964,871.942239889967
"70","17:15 - 17:30",225.955571417476,225.955571417476,225.378879417476,569.063120522099,225.955571417476,343.107549104623,517.991044604113,545.119726157511,861.098593708737
"71","17:30 - 17:45",224.344708713592,224.344708713592,216.612593786408,562.221248400739,224.344708713592,337.876539687147,511.555334507027,538.280420429357,849.431874194173
"72","17:45 - 18:00",223.447216194175,223.447216194175,207.743643883495,557.339585622421,223.447216194175,333.892369428247,506.802049587933,533.047629782108,840.69441901618
"73","18:00 - 18:15",222.425801247573,222.425801247573,199.824021747573,552.388366921775,222.425801247573,329.962565674203,500.63574363324,526.297771303143,830.598309307443
"74","18:15 - 18:30",221.913820145631,221.913820145631,192.959112815534,549.837304816598,221.913820145631,327.923484670967,496.26878363324,521.561794895376,824.192268304207
"75","18:30 - 18:45",222.252493199029,222.252493199029,188.266681359223,550.341185734073,222.252493199029,328.088692535044,495.3099170313,520.55091110897,823.398609566344
"76","18:45 - 19:00",223.718044199029,223.718044199029,185.466954563107,553.860094274526,223.718044199029,330.142050075497,498.85332745201,524.442108908321,828.995377527507
"77","19:00 - 19:15",225.068830645631,225.068830645631,183.407297864078,558.707478261581,225.068830645631,333.63864761595,503.544694701203,529.627861400232,837.183342317153
"78","19:15 - 19:30",227.038217364078,227.038217364078,181.005301747573,565.613030255108,227.038217364078,338.57481289103,511.5705567724,538.452261626769,850.14536966343
"79","19:30 - 19:45",228.475796728155,228.475796728155,178.850110679612,570.146981399122,228.475796728155,341.671184670967,518.473943180167,546.10584085007,860.145127851133
"80","19:45 - 20:00",229.29688234466,229.29688234466,175.621589320388,572.817697112714,229.29688234466,343.520814768053,524.324390299907,552.674715251363,867.84520506796
"81","20:00 - 20:15",228.439979082524,228.439979082524,171.176776504854,569.755287475174,228.439979082524,341.31530839265,526.904192630003,555.702463697965,868.219501022653
"82","20:15 - 20:30",227.373051461165,227.373051461165,167.765347378641,566.712751245402,227.373051461165,339.339699784237,529.70451560735,558.793665121913,869.044215391587
"83","20:30 - 20:45",225.759868320388,225.759868320388,165.147370679612,562.809205903975,225.759868320388,337.049337583587,530.98324874651,560.189338261073,868.032586330097
"84","20:45 - 21:00",224.403414558253,224.403414558253,162.651653398058,557.862491332779,224.403414558253,333.459076774527,532.82645256528,561.963023730328,866.285529339807
"85","21:00 - 21:15",222.22798218932,222.22798218932,159.843198640777,549.077914562552,222.22798218932,326.849932373232,531.98916492774,560.834697937449,858.839097300972
"86","21:15 - 21:30",222.346990543689,222.346990543689,157.902590097087,550.223646088442,222.346990543689,327.876655544753,536.455533277253,565.053616675312,864.332188822006
"87","21:30 - 21:45",223.568479854369,223.568479854369,156.721449126214,555.321643716274,223.568479854369,331.753163861905,540.205449911557,568.426204668838,871.958613773462
"88","21:45 - 22:00",225.415591101942,225.415591101942,155.820161359223,562.035382083588,225.415591101942,336.619790981647,544.457540267543,572.246244636475,881.07733124919
"89","22:00 - 22:15",226.508069980582,226.508069980582,154.504197087379,566.801720703329,226.508069980582,340.293650722747,545.965192500553,573.10179483065,886.2588432233
"90","22:15 - 22:30",228.298399708738,228.298399708738,153.492891067961,573.121699007534,228.298399708738,344.823299298797,549.654492630003,576.321574474663,894.4777919288
"91","22:30 - 22:45",229.237264475728,229.237264475728,152.853947378641,577.175661735692,229.237264475728,347.938397259963,551.719702468193,577.831782274018,899.658099728157
"92","22:45 - 23:00",229.263927470874,229.263927470874,151.772079417476,578.72043544281,229.263927470874,349.456507971937,551.997000267543,577.649857354922,901.45350823948
"93","23:00 - 23:15",227.34898684466,227.34898684466,149.849797864078,574.770368473557,227.34898684466,347.421381628897,548.10026350379,573.158637096023,895.521645132687
"94","23:15 - 23:30",226.145676849515,226.145676849515,148.123027378641,573.030497798798,226.145676849515,346.884820949283,545.652734312853,570.323733439067,892.537555262136
"95","23:30 - 23:45",224.117564805825,224.117564805825,146.039154757282,569.411907567405,224.117564805825,345.29434276158,542.006458131623,566.400439393759,887.300800893203
"96","23:45 - 24:00",221.36323115534,221.36323115534,143.98193961165,564.78000375511,221.36323115534,343.41677259977,537.300228811233,561.490333180165,880.717001411003
"97","TOTAL IN Mus",5.0143450905619,5.0143450905619,4.30511909208738,12.6580031797687,5.0143450905619,7.64365808920677,11.8416399128984,12.4763813189907,19.4852980021052
