"","Time","Central","East","NewD","North","NorthE","NorthW","South","SouthW","West"
"50","12:15 - 12:30",167.02431942474,167.02431942474,169.481381579809,443.015594324558,167.02431942474,275.991274899818,371.271913497033,393.81699458993,647.263188396851
"51","12:30 - 12:45",165.508344506708,165.508344506708,169.531721907678,439.303120462992,165.508344506708,273.794775956284,368.682659289383,391.035600491569,642.477435245667
"52","12:45 - 13:00",163.49505385097,163.49505385097,168.851138301121,432.408611883757,163.49505385097,268.913558032787,364.190930109053,386.343295792113,633.10448814184
"53","13:00 - 13:15",159.223066856435,159.223066856435,168.233594038826,413.31835661964,159.223066856435,254.095289763206,354.98074832399,376.763343733826,609.076038087196
"54","13:15 - 13:30",157.01117248485,157.01117248485,166.963239284727,403.281423085943,157.01117248485,246.270250601093,350.787698014337,371.941338232916,597.05794861543
"55","13:30 - 13:45",156.607456419276,156.607456419276,165.2672778349,405.872093869185,156.607456419276,249.264637449909,351.415180965157,371.824513861332,600.679818415066
"56","13:45 - 14:00",157.197496911079,157.197496911079,163.931874556212,412.378929370096,157.197496911079,255.181432459016,352.439316302133,372.277181875904,607.62074876115
"57","14:00 - 14:15",157.663128495779,157.663128495779,163.438623408671,415.865194360988,157.663128495779,258.202065865209,353.987192768437,373.307061183737,612.189258633646
"58","14:15 - 14:30",157.990890626926,157.990890626926,163.241073244736,419.154259442955,157.990890626926,261.163368816029,354.574012003407,373.473508834008,615.737380819436
"59","14:30 - 14:45",158.412205654249,158.412205654249,163.23286362725,421.69873964332,158.412205654249,263.286533989071,355.023681293027,373.465961074447,618.310215282098
"60","14:45 - 15:00",158.224404998511,158.224404998511,163.077968763862,421.864116546781,158.224404998511,263.63971154827,354.74148843328,372.78255116552,618.38119998155
"61","15:00 - 15:15",158.066979588675,158.066979588675,162.976770949654,421.089301665177,158.066979588675,263.022322076503,354.051538524357,371.785527595395,617.073860600859
"62","15:15 - 15:30",157.441550736216,157.441550736216,162.346683955119,419.035995508529,157.441550736216,261.594444772313,352.27105131124,369.817215245666,613.865496083553
"63","15:30 - 15:45",156.837647730751,156.837647730751,161.390086796649,417.997247402882,156.837647730751,261.159599672131,351.13744023656,368.654861001587,612.297039908691
"64","15:45 - 16:00",156.548865818183,156.548865818183,160.467538818507,416.681631683392,156.548865818183,260.132765865209,351.212432513427,368.843907923263,611.345198378636
"65","16:00 - 16:15",157.126556911079,157.126556911079,159.452005485174,416.842109370096,157.126556911079,259.715552459016,352.308595573537,370.23080322381,612.024148032553
"66","16:15 - 16:30",157.59593658321,157.59593658321,157.923235867687,417.018774652427,157.59593658321,259.422838069217,352.926369271167,371.12501407991,612.349207340383
"67","16:30 - 16:45",158.960989479385,158.960989479385,156.836198490638,418.784701683393,158.960989479385,259.823712204007,354.497978415067,373.160666939657,614.321690619074
"68","16:45 - 17:00",161.036364943866,161.036364943866,155.281146687359,421.755618495779,161.036364943866,260.719253551913,358.335750145483,377.676952331276,619.055003697396
"69","17:00 - 17:15",164.164679588675,164.164679588675,154.12183499337,427.558296892864,164.164679588675,263.393617304189,364.303821220167,384.565985154593,627.697438524356
"70","17:15 - 17:30",167.800859752609,167.800859752609,152.921935321239,434.619776401061,167.800859752609,266.818916648452,371.06693673929,392.231483187377,637.885853387742
"71","17:30 - 17:45",173.20384248485,173.20384248485,152.323220567141,445.21140802219,173.20384248485,272.007565537341,384.36807109266,406.559874371348,656.375636630001
"72","17:45 - 18:00",179.934604178839,179.934604178839,152.295244173698,459.693016929294,179.934604178839,279.758412750455,400.92486271379,424.425212440566,680.683275464245
"73","18:00 - 18:15",186.112335053156,186.112335053156,152.440728326704,473.770290135123,186.112335053156,287.657955081967,416.697825008873,441.318590036196,704.355780090841
"74","18:15 - 18:30",190.086163195232,190.086163195232,151.507653135447,483.799982758074,190.086163195232,293.713819562841,423.96303754075,449.201004753865,717.676857103591
"75","18:30 - 18:45",191.864692922008,191.864692922008,149.932276742004,488.805960353702,191.864692922008,296.941267431694,426.558650582643,451.926912877725,723.499918014337
"76","18:45 - 19:00",192.347475872828,192.347475872828,148.162049856758,490.23925233913,192.347475872828,297.891776466302,427.113125008873,452.449431019802,725.004901475176
"77","19:00 - 19:15",191.31833964332,191.31833964332,145.600631496102,487.794595235305,191.31833964332,296.476255591985,424.852590946943,450.077989854047,721.328846538929
"78","19:15 - 19:30",189.383125818183,189.383125818183,142.777079146376,483.540999042227,189.383125818183,294.157873224044,421.505693242023,446.566348979728,715.663566466067
"79","19:30 - 19:45",186.764946637855,186.764946637855,139.85945226113,477.568124452063,186.764946637855,290.803177814208,417.766175245667,442.732973059874,708.569353059874
"80","19:45 - 20:00",183.914150408347,183.914150408347,136.733221222878,470.355404761717,183.914150408347,286.44125435337,413.732757722897,438.534746793935,700.174012076266
"81","20:00 - 20:15",180.137222102336,180.137222102336,133.059896632714,460.3306010823,180.137222102336,280.193378979964,407.273118925083,431.756506903225,687.466497905047
"82","20:15 - 20:30",177.247986528565,177.247986528565,130.020861004299,452.013150062263,177.247986528565,274.765163533698,402.26976890687,426.444501147307,677.034932440568
"83","20:30 - 20:45",173.963155271735,173.963155271735,127.521150403206,442.25564514423,173.963155271735,268.292489872495,397.06898865186,420.834037832188,665.361478524355
"84","20:45 - 21:00",170.461143523101,170.461143523101,125.208605485174,431.460074124194,170.461143523101,260.998930601093,391.38087448064,414.628808906869,652.379805081733
"85","21:00 - 21:15",165.598997348238,165.598997348238,122.392399583534,417.300271155159,165.598997348238,251.701273806922,382.071887704683,404.549461475175,633.773161511605
"86","21:15 - 21:30",162.929057348238,162.929057348238,119.88344657807,410.978356947509,162.929057348238,248.049299599271,376.157178779363,397.955779872259,624.206478378635
"87","21:30 - 21:45",160.821840626926,160.821840626926,117.920992370419,407.169303869185,160.821840626926,246.347463242259,370.596675391387,391.655057905048,616.944138633645
"88","21:45 - 22:00",158.573398386489,158.573398386489,115.924651605392,403.474093286307,158.573398386489,244.900694899818,364.589830546213,384.775469890476,609.490525446031
"89","22:00 - 22:15",155.311832758074,155.311832758074,113.226458599928,396.774547548602,155.311832758074,241.462714790528,355.550218378637,374.64936591962,597.012933169165
"90","22:15 - 22:30",152.965399861899,152.965399861899,110.657024720146,391.67864805862,152.965399861899,238.713248196721,349.27020584676,367.474489999765,587.983454043481
"91","22:30 - 22:45",150.395616364631,150.395616364631,108.673301222878,386.186781865542,150.395616364631,235.791165500911,342.210637686467,359.625501074445,578.001803187377
"92","22:45 - 23:00",147.352666801789,147.352666801789,106.480484173698,379.488087020369,147.352666801789,232.135420218579,334.332703624537,351.051217285739,566.468123843116
"93","23:00 - 23:15",143.112684506708,143.112684506708,103.94654078572,369.905649861899,143.112684506708,226.792965355191,324.38951142053,340.438189016158,551.182476775721
"94","23:15 - 23:30",139.20046090015,139.20046090015,101.443955649108,361.29879248485,139.20046090015,222.098331584699,315.386039471532,330.919132367707,537.484371056231
"95","23:30 - 23:45",135.510957840041,135.510957840041,99.0599895288894,353.313673213447,135.510957840041,217.802715373406,306.801110546213,321.918443879546,524.603825919619
"96","23:45 - 24:00",131.90129237556,131.90129237556,96.6173578349003,345.336342648784,131.90129237556,213.435050273224,298.980283624537,313.758950291204,512.415333897761
"97","TOTAL IN Mus",3.59211265848885,3.59211265848885,3.03849600159934,9.35597829175842,3.59211265848885,5.76386563326957,8.20984177215283,8.69159798767196,13.9737074054224
