"","Time","Central","East","NewD","North","NorthE","NorthW","South","SouthW","West"
"24","05:45 - 06:00",106.70775212828,106.70775212828,99.6754514267405,290.960235533528,106.70775212828,184.252483405248,277.4564856527,305.921735565236,461.708969057947
"25","06:00 - 06:15",118.943682915452,118.943682915452,103.160269852396,317.213726748299,118.943682915452,198.270043832847,304.572010900513,335.303104661446,502.84205473336
"26","06:15 - 06:30",130.796882332361,130.796882332361,106.976851776595,343.542597185617,130.796882332361,212.745714853256,328.660738247452,361.090944661446,541.406453100708
"27","06:30 - 06:45",141.489589183674,141.489589183674,110.645649094379,367.873209926142,141.489589183674,226.383620742468,350.240010200803,383.961235040453,576.623630943272
"28","06:45 - 07:00",151.207923644315,151.207923644315,114.229663671638,389.330568176871,151.207923644315,238.122644532556,369.62101968574,404.357037178451,607.743664218296
"29","07:00 - 07:15",160.076478046647,160.076478046647,117.961771566181,406.818803317784,160.076478046647,246.742325271137,388.656177928863,424.263777112537,635.3985032
"30","07:15 - 07:30",167.375215889213,167.375215889213,122.282111974344,422.189810548105,167.375215889213,254.814594658892,401.49169357512,437.487960397277,656.306288234012
"31","07:30 - 07:45",172.498993323615,172.498993323615,126.586771682799,433.89471350243,172.498993323615,261.395720178814,409.581236704373,445.758736646064,670.976956883188
"32","07:45 - 08:00",176.300499241982,176.300499241982,130.804360953936,443.185890207969,176.300499241982,266.885390965986,415.79997614072,452.090958531391,682.685367106706
"33","08:00 - 08:15",179.116177376093,179.116177376093,135.492257957353,452.405269255588,179.116177376093,273.289091879495,420.660722387393,456.847942212466,693.949814266888
"34","08:15 - 08:30",180.389956880467,180.389956880467,140.483504254729,457.480492880466,180.389956880467,277.090536,423.657281804303,459.588626993808,700.747817804303
"35","08:30 - 08:45",180.930904606414,180.930904606414,144.936161514204,459.638235241982,180.930904606414,278.707330635568,424.487278266887,460.187560249394,703.194608902455
"36","08:45 - 09:00",180.909122769679,180.909122769679,149.284653525866,460.700256787172,180.909122769679,279.791134017493,425.381794340747,460.954343145411,705.172928358239
"37","09:00 - 09:15",180.978005830904,180.978005830904,152.975429502542,461.541631004859,180.978005830904,280.563625173955,425.988377314507,461.206723436956,706.552002488462
