"","id_grid","X","id_discom","id_subdiv","x","y","area_intersection","id_intersect","area_subdiv","area_discom","weight_in_subdiv","weight_in_discom","area_grid","weight_in_grid"
"16","GOPALPUR",132,"NDPL","Narela",-1051592.0715838,3291060.27703244,7860939.89997788,130,273957195.070175,529592854.173835,0.0286940443304081,0.0148433647433573,64899462.439273,0.121124884621863
"17","GOPALPUR",148,"NDPL","Model Town",-1054105.60158656,3280382.51566706,12255670.8826692,139,23322509.042346,529592854.173835,0.525486810206266,0.0231416847604336,64899462.439273,0.188840868969245
"18","GOPALPUR",60,"BYPL","Civil Lines",-1049916.57024855,3281261.33177249,2891024.86739147,83,59705912.3093206,186262579.403726,0.048421081858926,0.0155212328565747,64899462.439273,0.0445462066823223
"19","GOPALPUR",85,"BYPL","Seelampur",-1049674.06899245,3284699.34681521,7878042.60490956,91,45433670.2428217,186262579.403726,0.173396570490676,0.0422953586819703,64899462.439273,0.121388410763512
"20","KANJHAWALA",147,"NDPL","Saraswati Vihar",-1073672.8627438,3286009.11854309,81036995.10478,131,154625990.987483,529592854.173835,0.524083917504787,0.153017538786844,116981306.941214,0.692734567801533
"21","KANJHAWALA",40,"BRPL","Punjabi Bagh",-1073345.86963127,3279241.64248817,30757752.6858091,30,74961537.7780212,770007528.14153,0.410313790211857,0.0399447428261451,116981306.941214,0.262928783153925
"22","KANJHAWALA",13,"BRPL","Najafgarh",-1078818.31907569,3279279.65138238,103993.627354632,73,269733276.673275,770007528.14153,0.00038554244636489,0.000135055338492116,116981306.941214,0.000888976453365253
"23","KANJHAWALA",38,"BRPL","Saraswati Vihar",-1074429.57936522,3280900.96139348,2989720.12454454,28,154625990.987483,770007528.14153,0.0193351719555774,0.00388271544793912,116981306.941214,0.0255572467321378
"24","KANJHAWALA",125,"NDPL","Narela",-1070911.05992476,3288053.01028412,814619.080455265,125,273957195.070175,529592854.173835,0.00297352686884751,0.00153819877673023,116981306.941214,0.00696366882671805
"25","KANJHAWALA",155,"NDPL","Punjabi Bagh",-1070291.56518212,3280704.54521666,1278226.31827,140,74961537.7780212,529592854.173835,0.0170517622257848,0.00241360189850755,116981306.941214,0.0109267570323209
"26","KASHMIRI GATE",113,"NDMC","Daryaganj",-1051686.8072494,3270760.56616864,251277.315073311,3,6992759.26330147,48353308.4082827,0.0359339290274203,0.00519669332554436,19506153.759736,0.0128819509047442
"27","KASHMIRI GATE",121,"NDMC","Connaught Place",-1052885.09241668,3272237.22026869,35600.3819686701,9,6119752.00934554,48353308.4082827,0.00581729160173556,0.000736255349232152,19506153.759736,0.00182508465826591
"28","KASHMIRI GATE",53,"BYPL","Paharganj",-1052962.83139456,3273101.19914653,331536.616587463,103,4014426.86723909,186262579.403726,0.082586288790827,0.00177994215289403,19506153.759736,0.0169965140576207
"29","KASHMIRI GATE",5,"BRPL","Daryaganj",-1051124.57102124,3270314.26404677,2674.05176600949,47,6992759.26330147,770007528.14153,0.000382402949296869,3.47276054880074e-06,19506153.759736,0.00013708759804453
"30","KASHMIRI GATE",54,"BYPL","Kotwali",-1051162.64388659,3273914.26851423,3504387.61310252,88,3511727.46757499,186262579.403726,0.997909902023936,0.0188142332417008,19506153.759736,0.179655490070839
"31","KASHMIRI GATE",129,"NDPL","Civil Lines",-1051371.55071148,3276326.92678577,1424565.05835514,149,59705912.3093206,529592854.173835,0.0238596983657974,0.00268992500017294,19506153.759736,0.0730315712621769
"32","KASHMIRI GATE",119,"NDMC","Paharganj",-1053064.92336325,3272516.47212291,27886.8008693004,5,4014426.86723909,48353308.4082827,0.00694664563374633,0.000576729944388324,19506153.759736,0.00142964118979024
"33","KASHMIRI GATE",58,"BYPL","Connaught Place",-1052678.98178734,3271985.22046025,38352.316523312,112,6119752.00934554,186262579.403726,0.00626697233233369,0.000205904571095749,19506153.759736,0.00196616498545591
"34","KASHMIRI GATE",69,"BYPL","Seelampur",-1049283.15766751,3275727.97138953,2401020.65618543,90,45433670.2428217,186262579.403726,0.0528467245404807,0.0128905154426172,19506153.759736,0.123090419862348
"35","KASHMIRI GATE",77,"BYPL","Civil Lines",-1050474.03039272,3276236.44014547,1850835.05160848,81,59705912.3093206,186262579.403726,0.0309991922076291,0.0099366982758076,19506153.759736,0.0948846745701818
"36","KASHMIRI GATE",65,"BYPL","Daryaganj",-1051369.55856672,3272239.42162623,6280822.52592306,101,6992759.26330147,186262579.403726,0.898189439880377,0.0337202595713513,19506153.759736,0.32199184950996
"37","KASHMIRI GATE",94,"BYPL","Vivek Vihar",-1049461.83228757,3274450.51926682,1474363.04066849,95,25057350.4009447,186262579.403726,0.0588395427719644,0.00791550855458085,19506153.759736,0.0755845082956243
"38","KASHMIRI GATE",55,"BYPL","Sadar Bazaar",-1051400.37957462,3274981.9916798,1882832.33110482,85,4462705.43772793,186262579.403726,0.421903788492796,0.0101084841471231,19506153.759736,0.0965250430349475
"39","LODHI ROAD",45,"BRPL","Preet Vihar",-1049640.82775828,3268006.20817761,2244662.53200664,55,56404279.9631173,770007528.14153,0.0397959611127812,0.00291511764492004,61599726.6765934,0.0364394885027885
"40","LODHI ROAD",9,"BRPL","Chanakyapuri",-1055019.51121775,3265548.34214913,412925.156024229,50,18948260.9743814,770007528.14153,0.0217922455565983,0.000536261193472814,61599726.6765934,0.00670336019820574
"41","LODHI ROAD",2,"BRPL","Gandhi Nagar",-1050548.40924944,3269498.72802538,218696.830571222,48,6171605.41213555,770007528.14153,0.0354359710264671,0.000284019081084913,61599726.6765934,0.00355028897643343
"42","LODHI ROAD",87,"BYPL","Preet Vihar",-1047554.57038688,3265173.58249321,736796.562487298,118,56404279.9631173,186262579.403726,0.0130627775581762,0.00395568752911064,61599726.6765934,0.0119610362291959
"43","LODHI ROAD",4,"BRPL","Hauz Khas",-1055239.31490102,3262442.08593931,6606300.18457886,61,164380210.216045,770007528.14153,0.0401891454932207,0.00857952674894446,61599726.6765934,0.107245608722629
"44","LODHI ROAD",6,"BRPL","Connaught Place",-1051014.03617152,3269498.58956529,745292.230834578,49,6119752.00934554,770007528.14153,0.121784711160915,0.000967902525100496,61599726.6765934,0.0120989535350937
"45","LODHI ROAD",15,"BRPL","Kalkaji",-1053240.98438667,3261503.7347919,68661.6775308807,59,67188380.9448394,770007528.14153,0.00102192784772193,8.91701379811191e-05,61599726.6765934,0.00111464256799975
"46","LODHI ROAD",92,"BYPL","Defence Colony",-1047522.40417168,3264015.51874393,2487172.59033929,115,48638677.7079862,186262579.403726,0.0511356950382495,0.0133530449234697,61599726.6765934,0.0403763575672546
