"","subdiv_id","discom_id","intersection_id","intersection_area","discom_area","subdiv_area","discom_ratio","subdiv_ratio","discom_name","subdiv_name","district_name"
"1","0","4","4 0",273957195.070176,529592854.173849,273957195.070176,0.517297756023431,1,"NDPL","Narela","North West"
"2","1","2","2 1",3286388.089117,770007528.141531,154625990.9875,0.00426799475201098,0.021253788371081,"BRPL","Saraswati Vihar","North West"
"3","1","4","4 1",151263465.960304,529592854.173849,154625990.9875,0.285622180828461,0.978253817448661,"NDPL","Saraswati Vihar","North West"
"4","1","3","3 1",76136.9380788225,186262579.403744,154625990.9875,0.000408761321369805,0.000492394180257687,"BYPL","Saraswati Vihar","North West"
"5","10","3","3 10",25057350.4009613,186262579.403744,25057350.4009613,0.134527023523318,1,"BYPL","Vivek Vihar","East"
"6","11","3","3 11",8752612.47529428,186262579.403744,8752612.47529428,0.0469907187117927,1,"BYPL","Seemapuri","North East"
"7","12","0","0 12",344208.18157243,48353308.4082822,6992759.26329417,0.00711860662492894,0.0492235137250069,"NDMC","Daryaganj","Central"
"8","12","2","2 12",31897.8749876202,770007528.141531,6992759.26329417,4.14254066640206e-05,0.00456155771800353,"BRPL","Daryaganj","Central"
"9","12","3","3 12",6616653.20673412,186262579.403744,6992759.26329417,0.0355232555455587,0.94621492855699,"BYPL","Daryaganj","Central"
"10","13","0","0 13",184439.663275826,48353308.4082822,4014426.86723513,0.0038144166210607,0.0459442080714391,"NDMC","Paharganj","Central"
"11","13","3","3 13",3367626.30201085,186262579.403744,4014426.86723513,0.0180799939139206,0.838880969409775,"BYPL","Paharganj","Central"
"12","13","4","4 13",462360.901948452,529592854.173849,4014426.86723513,0.000873049736801534,0.115174822518786,"NDPL","Paharganj","Central"
"13","14","3","3 14",3835913.0520426,186262579.403744,4662103.07720022,0.0205941153844318,0.822785980602175,"BYPL","Karol Bagh","Central"
"14","14","0","0 14",820733.884158577,48353308.4082822,4662103.07720022,0.0169736862104351,0.176043701859003,"NDMC","Karol Bagh","Central"
"15","14","4","4 14",5456.14099904244,529592854.173849,4662103.07720022,1.03025200510945e-05,0.00117031753882179,"NDPL","Karol Bagh","Central"
"16","15","2","2 15",218696.830571111,770007528.141531,6171605.4121267,0.000284019081084768,0.0354359710264998,"BRPL","Gandhi Nagar","East"
"17","15","3","3 15",5952908.58155559,186262579.403744,6171605.4121267,0.0319597666939425,0.9645640289735,"BYPL","Gandhi Nagar","East"
"18","16","0","0 16",5331476.35421829,48353308.4082822,6119752.00935479,0.11026083901438,0.871191568885222,"NDMC","Connaught Place","New Delhi"
"19","16","2","2 16",745292.230834578,770007528.141531,6119752.00935479,0.000967902525100495,0.121784711160731,"BRPL","Connaught Place","New Delhi"
"20","16","3","3 16",42983.4243019234,186262579.403744,6119752.00935479,0.000230767900023291,0.00702371995404682,"BYPL","Connaught Place","New Delhi"
"21","17","3","3 17",44619.0473482816,186262579.403744,7640711.49838114,0.000239549175637502,0.00583964560862364,"BYPL","Parliament Street","New Delhi"
"22","17","0","0 17",7596092.45103286,48353308.4082822,7640711.49838114,0.157095609402639,0.994160354391376,"NDMC","Parliament Street","New Delhi"
"23","18","0","0 18",18535335.8183536,48353308.4082822,18948260.9743778,0.383331284425178,0.978207754443398,"NDMC","Chanakyapuri","New Delhi"
"24","18","2","2 18",412925.156024229,770007528.141531,18948260.9743778,0.000536261193472814,0.0217922455566025,"BRPL","Chanakyapuri","New Delhi"
"25","19","0","0 19",2816598.480019,48353308.4082822,48638677.7079932,0.0582503777453325,0.0579086153807205,"NDMC","Defence Colony","South"
"26","19","3","3 19",4220953.28785846,186262579.403744,48638677.7079932,0.0226613058906969,0.0867818264550559,"BYPL","Defence Colony","South"
"27","19","2","2 19",41601125.9401157,770007528.141531,48638677.7079932,0.0540269080752016,0.855309558164224,"BRPL","Defence Colony","South"
"28","2","4","4 2",23322509.0423439,529592854.173849,23322509.0423439,0.0440385644529256,1,"NDPL","Model Town","North West"
"29","20","3","3 20",54026434.3597813,186262579.403744,56404279.9631225,0.290055224902009,0.957842816096653,"BYPL","Preet Vihar","East"
"30","20","2","2 20",2377845.6033412,770007528.141531,56404279.9631225,0.00308808098159807,0.0421571839033465,"BRPL","Preet Vihar","East"
"31","21","2","2 21",67188380.9448308,770007528.141531,67188380.9448308,0.0872567844979319,1,"BRPL","Kalkaji","South"
"32","22","2","2 22",161585342.267299,770007528.141531,164380210.216047,0.209849042200012,0.98299754000147,"BRPL","Hauz Khas","South"
"33","22","0","0 22",2794867.94874829,48353308.4082822,164380210.216047,0.0578009662782365,0.01700245999853,"NDMC","Hauz Khas","South"
"34","23","2","2 23",14741505.1828686,770007528.141531,74652275.9513694,0.0191446247524986,0.197468931723818,"BRPL","Delhi Cantonment","South West"
"35","23","0","0 23",5106793.34948885,48353308.4082822,74652275.9513694,0.105614145496901,0.0684077382023229,"NDMC","Delhi Cantonment","South West"
"36","23","3","3 23",3645629.47117649,186262579.403744,74652275.9513694,0.0195725275728852,0.048834806772018,"BYPL","Delhi Cantonment","South West"
"37","23","1","1 23",40972679.2103553,47534041.6042455,74652275.9513694,0.861964979781897,0.548847020244179,"MES","Delhi Cantonment","South West"
"38","23","4","4 23",10185668.7374802,529592854.173849,74652275.9513694,0.0192330176987935,0.136441503057662,"NDPL","Delhi Cantonment","South West"
"39","24","0","0 24",4822762.27741449,48353308.4082822,97787044.6336253,0.099740068180907,0.049319030915432,"NDMC","Vasant Vihar","South West"
