"subdiv_name","intercept","heating","cooling","threshold.t","sig.heating","sig.cooling"
"Chanakyapuri",59.7089982828636,-0.625843235048512,2.16069243805276,20.4565186170838,0.483804293755897,0.0184631086437663
"Civil Lines",101.119627599462,1.02582670019245,4.31481125265223,22.9572844657925,0.243753750439818,5.22127925953907e-05
"Connaught Place",15.7383273235308,-0.0901138696512821,0.573505452082863,21.0124292835744,0.631559457523522,0.00408462915478463
"Daryaganj",39.2522150667203,-2.00422477050499,3.13496178632503,14.744493309742,0.00465973442113718,1.38358577905414e-05
"Defence Colony",85.2093561353713,-0.56762918390982,4.60822077364403,22.6069798134567,0.535459246277402,5.52510088602439e-06
"Delhi Cantonment",114.042202767012,-0.00717793592610147,3.72349154431827,20.526023491174,0.994233577262829,0.000466135446982697
"Gandhi Nagar",24.5814876670366,-0.148705962162015,1.09934605491486,22.7684741587865,0.33121175451744,6.21813619515511e-09
"Hauz Khas",302.258244766091,-2.53551122764612,10.3238700589974,22.9835010152395,0.0767290951677044,7.9313821320381e-10
"Kalkaji",218.208212059944,-1.44658452299175,9.58542930455737,22.4855655923372,0.237450005750739,1.30216226315924e-11
"Karol Bagh",17.2019298657573,-0.237225479290985,0.612745901816613,19.5006128163678,0.266212944230951,0.00514890737954391
"Kotwali",20.5742848308984,-1.06754290923732,1.65936907998459,14.7272853987466,0.00477122060095749,1.64214817164387e-05
"Model Town",38.3736998504602,-0.177931268930202,2.29632254958684,23.3616901569035,0.511558814712241,6.1712669772787e-10
"Najafgarh",347.291527145533,0.602351360501601,25.211454627149,24.2695042620465,0.679884381903438,1.94520178447678e-16
"Narela",284.815013864907,0.34520262419792,6.57646227367831,24.5516128820115,0.715309133030664,5.93500170896146e-07
"Paharganj",11.0023264644054,-0.115953319288747,0.493780856780549,21.0053332588478,0.136773695093572,3.87744484147386e-08
"Parliament Street",11.0380520797894,0.674030766147797,-0.734770010499193,30.9501276289295,9.91983551168934e-13,0.00931921864226121
"Patel Nagar",129.90099081716,-0.486397649301309,5.49795094325093,21.0338089633768,0.486631942589311,1.68048829563247e-10
"Preet Vihar",298.972063500085,-0.725449256557979,16.3465129139085,24.1352527821676,0.585818556135971,6.84364090625075e-11
"Punjabi Bagh",118.162601359686,-0.994718947244126,8.58318695075864,21.0002113277733,0.0839494102678718,4.72592668363966e-25
"Rajouri Garden",18.6441445132186,-0.0866543625892497,0.606150545481814,23.945619653472,0.332252134984463,3.91222043118599e-08
"Sadar Bazaar",13.7255823792199,-0.29007590802765,0.865094215517472,19.4774427454584,0.011905161401613,2.08855158027322e-11
"Saraswati Vihar",184.313041398292,-1.33294570758448,11.2741550090067,20.3344640081899,0.230163272020297,1.85032513975055e-16
"Seelampur",181.618057144387,-1.306762004714,9.23988551442423,22.6506486148794,0.11741452593696,4.37666579770409e-16
"Seemapuri",31.436802251876,-0.0564381199413982,1.32999370645929,22.1357449341136,0.713136317810094,1.0651403592e-10
"Shahdara",14.3973844690772,-0.00554265052538655,0.580753863495943,20.9969303997852,0.935668848904578,3.48135989269486e-11
"Vasant Vihar",126.921477689249,-0.9866105429793,8.43709719590527,18.4752532736283,0.570247850228272,4.35903483162958e-06
"Vivek Vihar",53.9774258210317,0.330079772233048,2.40996835095216,22.0270465296706,0.332366627333132,2.77659258765723e-08
