"","grid_name","population_persons","num_of_households","perc_population_males","perc_population_females","perc_child_pop_age0to6","perc_scheduled_castes_pop_2011","perc_literates","perc_total_workers","perc_main_workers_person","perc_marginal_workers","perc_cultivator_persons","perc_agricultural_labourers","perc_household_industry_workers","perc_other_workers","perc_nonworkers","perc_Total","perc_Total.1","perc_Total_other","perc_Good","perc_Livable","perc_Dilapidated","perc_Good_residence","perc_Livable_residence","perc_Dilapidated_residence","perc_Good_other","perc_Livable_other","perc_Dilapidated_other"
"11","NARELA",242182.29131032,47883.0870378722,0.542744714555761,0.457255285444239,0.135168839122227,0.191747755623135,0.70356939572522,0.315054826876467,0.296712115992705,0.0183427108837616,0.00889601722654162,0.0104875461932331,0.00795147133087134,0.287719792125821,0.684945173123533,1,0.954,0.046,0.533,0.415,0.052,0.509,0.393,0.051,0.024,0.021,0.001
"12","OKHLA",703760.765470987,147606.214180543,0.540672010887814,0.459327989112187,0.128593968636776,0.161406753168976,0.742811222907317,0.328428785479511,0.308039271188606,0.0203895142909046,0.0010575801091107,0.00219381686303305,0.00818341568338365,0.316993972823984,0.671571214520489,1,0.964219436618517,0.0357805633814832,0.611163033389116,0.358450048076639,0.0300800937470205,0.59157308214775,0.343259435936521,0.0290800937470205,0.0195899512413656,0.0145318449178121,0.001
"13","PAPPANKALAN-1",915656.17059432,195747.934204604,0.535915111501688,0.464084888498312,0.113689650551416,0.134869492732773,0.778602157137731,0.345898432621632,0.329274026175621,0.016624406446011,0.0015618546100364,0.00190861773297183,0.010258885845972,0.332169074432651,0.654101567378368,1,0.961356784916085,0.0386432150839152,0.682365475907023,0.292057772071648,0.0249860479929531,0.659651485581631,0.278019089681855,0.0241899268463146,0.0231906101925643,0.0141527665509967,0.00141990120405604
"14","PAPPANKALAN-2",553612.614648213,116199.193245945,0.536295647695164,0.463704352304836,0.118467915025988,0.128909461123568,0.778124514826482,0.331701853418176,0.314874229100218,0.0168276243179582,0.00433658941991011,0.00312684273278934,0.00890492572797124,0.315333495537505,0.668298146581824,1,0.960323703267068,0.0396762967329318,0.714246445400233,0.264610933200737,0.0209320968145019,0.688826661917731,0.251099711048288,0.019974642414031,0.0254857611641841,0.0136557690552954,0.00116797898499994
"15","PARK STREET",450679.599084906,99358.8061539253,0.538028838586379,0.46197116141362,0.102229998321263,0.238118566603973,0.794137377505685,0.374685257841951,0.355042545435879,0.0196427124060717,0.000731861465827212,0.00135914090956327,0.0120893523574417,0.360504903109119,0.625314742158049,1,0.963452743787536,0.0365472562124641,0.672212655563691,0.299760260781015,0.0278193283553549,0.652767485521616,0.284071816376072,0.0264989523803825,0.0196069692718569,0.0156254627759603,0.00135097672728607
"16","PATPARGANJ",638523.467570491,135176.825975774,0.531669789867311,0.468330210132689,0.115533075507114,0.163618582476893,0.788814138933555,0.338943811194168,0.32373515542154,0.0152086557726281,0.000687159719635643,0.00196422199398936,0.0113361921535275,0.324956237327016,0.661056188805832,1,0.959154892863836,0.0408451071361639,0.74806129900906,0.232587534694515,0.0193511662964249,0.721262392802416,0.219541333764995,0.0183630626157376,0.0267989062066437,0.0130462009295202,0.000988103680687374
"17","ROHINI",836908.908179041,169731.751721545,0.534155535733164,0.465844464266836,0.121197447833961,0.190891585841834,0.751357645348995,0.327446139229123,0.31368321044687,0.0137629287822527,0.00217838774275363,0.00254165249889508,0.010595344215987,0.312130754771487,0.672553860770877,1,0.963899199841136,0.0361008001588645,0.650233476351556,0.318275702549469,0.0314098676535837,0.629507820935648,0.303878134144097,0.0299470414677739,0.0208066088612998,0.0143509026200616,0.00154377963120128
"18","SARITA VIHAR",542143.528155116,114986.593625507,0.540996151071625,0.459003848928375,0.126127892438965,0.147039836923673,0.747294240619537,0.332676419695188,0.31146187986572,0.0212145398294675,0.000974577023928455,0.00210858964539446,0.00832471188202385,0.321268541143841,0.667323580304812,1,0.964667285349748,0.0353327146502524,0.616079187579915,0.350271699380841,0.0336491130392434,0.596677695049205,0.335340477261299,0.0326491130392434,0.0194014925307104,0.0141959326041125,0.001
"19","SHALIMARBAGH",829557.353671655,167810.485710508,0.535983271880027,0.464016728119973,0.121445329180975,0.184407008253325,0.743053221977216,0.328420953792236,0.314252671545867,0.0141682822463699,0.00267057331008478,0.00321398493200357,0.00975662360923561,0.312779771940912,0.671579046207764,1,0.964438490368958,0.0355615096310421,0.611676032375085,0.355742415598062,0.0325147270000033,0.591729333081717,0.340713749881948,0.0315490277519265,0.0200135243202167,0.0148488567484344,0.00103252427492579
"20","SOW",1440662.18008375,261752.875094758,0.530620132492408,0.469379867507592,0.135066325434882,0.167504768175809,0.718399353966609,0.29499806824077,0.27756317322405,0.0174348950167193,0.00108976912023213,0.00113571202411356,0.0135082219227826,0.279264365173641,0.70500193175923,1,0.934309470544881,0.0656905294551187,0.619997269861578,0.359703613765102,0.0202991163733204,0.580660661676948,0.334144369315152,0.0192991163733204,0.0391856253354793,0.0255592444499502,0.001
"21","SUBZI MANDI",660708.471045901,135802.13234374,0.532770416466677,0.467229583533323,0.113873394588861,0.216030827640803,0.764400574871297,0.341405130713236,0.324767659513072,0.0166374712001633,0.0013788126529293,0.00155425475063684,0.0134668254845,0.32500523782517,0.658594869286764,1,0.955855740446852,0.0441442595531483,0.611788026663965,0.358532931511409,0.0294659900675735,0.589386676732057,0.338819637589253,0.0279664343207518,0.022807393696998,0.0197132939221559,0.00145344715906302
"22","VASANT KUNJ",447223.302859357,103899.249630202,0.553875647951771,0.446124352048229,0.110135959314264,0.152330895016329,0.783772984766793,0.387586844010517,0.365774652841395,0.0218121911691214,0.00150114404444299,0.00313816193814384,0.00784014744016412,0.375107390587766,0.612413155989483,1,0.974377615670189,0.0256223843298106,0.643875466165216,0.323403635761619,0.0327437646909987,0.630217414274849,0.313563176507519,0.0305188849381433,0.0128371984075553,0.0105603061693999,0.00222487975285541
