"","subdiv_name","population","scheduled_caste","literacy","tot_workers","main_workers","marginal_workers","female","male","female_workers","male_workers","total_household","total_hh_good","total_hh_liveable","total_hh_dilapidated","total_residence_household","res_good","res_liveable","res_dilapidated","other_total_households","other_good","other_liveable","other_dilapidated","intersection_id","discom_ratio","subdiv_ratio","discom_name","district_name"
"1","Chanakyapuri",60044.3483832447,14890.9983990447,52238.5830934229,25278.670669346,23717.5176113816,1561.15305796436,26778.781411918,33265.5669713267,5007.63212402866,20258.7302855379,29722.8426187627,20072.8231211785,8553.44860485307,1096.57089273105,29138.8525893599,19872.2905315176,8198.35918999012,1068.20286785219,583.990029402709,200.532589660897,355.089414862954,28.3680248788585,"0 18",0.383331284425178,0.978207754443398,"NDMC","New Delhi"
"2","Chanakyapuri",1337.65161675537,331.737600955333,1163.75690657718,563.151330654013,528.372388618373,34.7789420356397,596.570388636053,741.081228119321,111.558662674942,451.318467924666,662.157381237367,447.176878821483,190.551395146932,24.4291072689514,649.147410640075,442.70946848238,182.640810009886,23.7971321478099,13.0099705972917,4.46741033910351,7.91058513704671,0.631975121141472,"2 18",0.000536261193472814,0.0217922455566025,"BRPL","New Delhi"
"3","Civil Lines",578785.19011306,108811.615741255,507594.611729153,189841.542357084,181738.549695501,8102.99266158284,269935.035303529,308850.154809531,26723.5684950494,163072.881739432,147836.424203019,88298.4121224854,54485.7365339741,5052.27554655948,141004.799574432,84627.0862886188,51567.5031788494,4810.21010696388,6831.62462858683,3671.32583386655,2918.23335512469,242.065439595596,"4 6",0.0947579208182402,0.840504998595821,"NDPL","North"
"4","Civil Lines",109830.80988694,20648.1922587447,96321.6202708465,36024.5056429164,34486.8743044992,1537.63133841716,51223.1205129058,58607.6893740343,5071.08893077768,30944.8599894901,28053.575796981,16755.5878775146,10339.2634660259,958.72445344052,26757.2004255679,16058.9137113812,9785.49682115059,912.789893036116,1296.37537141317,696.674166133454,553.766644875309,45.9345604044035,"3 6",0.0511256453019041,0.159495001404179,"BYPL","North"
"5","Connaught Place",3437.73882664511,673.796810022443,3052.71207806086,1546.9824719903,1467.91447897746,79.0679930128376,1585.50885539236,1852.22997125275,401.133740414266,1148.38258217671,3700.42844861881,2499.0222730182,1064.88551438943,136.520661211179,3627.72297605586,2474.05640723025,1020.67766423809,132.988904587518,72.7054725629564,24.9658657879499,44.2078501513454,3.5317566236612,"2 16",0.000967902525100495,0.121784711160731,"BRPL","New Delhi"
"6","Connaught Place",24591.995606492,4820.03113887244,21837.6920985649,11066.3980229214,10500.7821239721,565.615898949317,11341.9979736839,13249.9976328082,2869.52548734201,8214.99853234109,26471.1558205775,17876.8509935248,7617.69907833238,976.605748720334,25951.054453953,17698.2567219033,7301.45653882705,951.341193222662,520.101366624478,178.594271621471,316.242539505336,25.2645554976714,"0 16",0.11026083901438,0.871191568885222,"NDMC","New Delhi"
"7","Connaught Place",198.265566862834,38.8600511051154,176.059823374196,89.2195050882751,84.65939705043,4.56010803784517,91.4414467858761,106.824120076958,23.1346860368266,66.2309544477138,213.415730803713,144.126733457041,61.4154072781854,7.87359006848649,209.222569991147,142.686870866461,58.8657969348664,7.66990218981913,4.19316081256595,1.4398625905796,2.549610343319,0.203687878667358,"3 16",0.000230767900023291,0.00702371995404682,"BYPL","New Delhi"
"8","Daryaganj",256526.436851228,28474.4344904864,212147.363275966,88245.0942768226,83884.1448503517,4617.47586332211,120941.63936115,135584.797490078,10159.0977063366,78232.4281517753,108423.93001856,62264.7271587642,42662.9386987776,3496.26416101808,104143.253681768,60201.9786145099,40582.2120708807,3359.06299637731,4280.67633679182,2062.74854425424,2080.72662789682,137.201164640764,"3 12",0.0355232555455587,0.94621492855699,"BYPL","Central"
"9","Daryaganj",13344.8883589592,1481.28260784447,11036.2226728592,4590.64159548195,4363.77849337965,240.207990461265,6291.56470200401,7053.32365695516,528.491434968335,4069.76775006313,5640.37476720737,3239.10409716035,2219.38978683311,181.8808832139,5417.68759111543,3131.79683723984,2111.14728015182,174.743473723774,222.687176091931,107.307259920515,108.24250668129,7.137409490126,"0 12",0.00711860662492894,0.0492235137250069,"NDMC","Central"
"10","Daryaganj",1236.6747898125,137.270901669188,1022.73005117494,425.4161276955,404.392656268688,22.260146216625,583.041179975027,653.633609837474,48.9754591179021,377.146592876223,522.695214232871,300.168744075504,205.671514389343,16.854955768023,502.058727116622,290.224548250257,195.640648967453,16.1935298989125,20.636487116248,9.94419582524769,10.0308654218898,0.661425869110512,"2 12",4.14254066640206e-05,0.00456155771800353,"BRPL","Central"
"11","Defence Colony",36932.667174439,3951.79538766497,32870.0737852507,13443.4908514958,12630.9721736581,812.518677837658,17256.2328779877,19676.4342964513,2726.48479472207,10723.656691566,32065.2743258433,21402.9663360989,9736.05968672978,926.248303014624,31014.0592308371,20793.651885063,9327.10904491113,893.298300862994,1051.21509500622,609.314451035941,408.950641818648,32.95000215163,"0 19",0.0582503777453325,0.0579086153807205,"NDMC","South"
"12","Defence Colony",55347.2793673733,5922.15889230894,49259.0786369622,20146.4096897239,18928.7695436417,1217.64014608221,25860.1832739405,29487.0960934328,4085.9089572826,16070.4673709209,48053.0065083465,32074.4762759622,14590.4549182356,1388.07531414862,46477.6560127078,31161.3578980021,13977.60165981,1338.69645489569,1575.35049563863,913.118377960098,612.853258425605,49.3788592529268,"3 19",0.0226613058906969,0.0867818264550559,"BYPL","South"
"13","Defence Colony",545495.053458188,58367.9707200261,485490.597577787,198560.19945878,186559.3082827,12000.8911760801,254874.35369357,290620.699764618,40270.1478835841,158388.281371717,473603.71916581,316121.557387939,143801.485395035,13680.6763828368,458077.284756455,307121.990216935,137761.289295279,13194.0052442413,15526.4344093552,8999.56717100397,6040.19609975575,486.671138595443,"2 19",0.0540269080752016,0.855309558164224,"BRPL","South"
"14","Delhi Cantonment",56503.7601234533,10622.7069032092,49497.2938681451,21866.9551677764,20002.3310837025,1864.62408407396,24813.4852364912,31690.2748869621,3473.88793310877,18380.359434438,91383.0924716947,63261.1469670423,25724.08026673,2397.86523792232,88008.3484285346,61193.647251894,24578.7604627319,2235.94071390879,3374.74404316005,2067.49971514837,1145.31980399814,161.924524013531,"2 23",0.0191446247524986,0.197468931723818,"BRPL","South West"
"15","Delhi Cantonment",39041.3716849194,7339.77787676485,34200.2415959894,15109.0108420638,13820.6455764615,1288.36526560234,17144.9209362265,21896.4507486929,2400.28893107171,12699.9414342419,63141.3072530004,43710.3999195526,17774.0981618186,1656.80917162919,60809.5219657449,42281.8573825389,16982.7374440841,1544.92713912191,2331.78528725544,1428.54253701372,791.36071773444,111.882032507283,"4 23",0.0192330176987935,0.136441503057662,"NDPL","South West"
"16","Delhi Cantonment",19574.1902092127,3679.94775933198,17146.9906232703,7575.21161096531,6929.26333406129,645.948276904018,8595.95677723694,10978.2334319757,1203.43394881317,6367.37539054591,31657.1858233654,21915.1030104962,8911.4076478784,830.675164990807,30488.0975774877,21198.8739915178,8514.64276630493,774.580819664902,1169.0882458777,716.229018978321,396.764881573473,56.0943453259048,"0 23",0.105614145496901,0.0684077382023229,"NDMC","South West"
"17","Delhi Cantonment",13973.5916097452,2627.0352226321,12240.8662501368,5407.7799529714,4946.65142984981,461.128523121593,6136.467880219,7837.12372952623,859.105503230661,4545.5317631252,22599.3811995003,15644.7186974837,6361.66144338401,593.001058632615,21764.7943517665,15133.4182705807,6078.41956410631,552.95651707956,834.586847733788,511.300426903028,283.241879277704,40.0445415530548,"3 23",0.0195725275728852,0.048834806772018,"BYPL","South West"
"18","Delhi Cantonment",157047.086372669,29524.8522380618,137573.247662458,60777.222426223,55594.668575925,5182.55385029809,68966.8360234434,88080.2503492259,9655.35704328209,51086.5452025509,253991.033252439,175828.631405425,71497.752480189,6664.64936682507,244611.237676466,170082.203103469,68314.4397627727,6214.59481022484,9379.79557597302,5746.42830195655,3183.31271741624,450.054556600227,"1 23",0.861964979781897,0.548847020244179,"MES","South West"
"19","Gandhi Nagar",14009.3276575585,1330.88612746806,12678.4415300904,4651.09678230942,4511.00350573383,140.093276575585,6616.542613992,7392.78504356648,588.872292645287,4058.638988918,12557.9765922261,9287.59082619046,3028.81875154802,241.567014487649,12015.0266441581,8934.01070728805,2850.15058563241,230.865351237646,542.94994806803,353.580118902415,178.668165915612,10.7016632500029,"2 15",0.000284019081084768,0.0354359710264998,"BRPL","East"
