"","id_discom","id_subdiv","x","y","area_intersection","id_intersect","grid","area_subdiv","area_discom","weight_in_subdiv","weight_in_discom"
"38","BYPL","Vivek Vihar",-1045186.77220528,3274380.01486805,17117472.0522648,50,"GEETA COLONY",25057350.4009609,186262579.40374,0.683131766861048,0.0918996832700423
"39","BYPL","Civil Lines",-1050487.5036484,3276231.36392324,2876188.95224921,36,"KASHMIRI GATE",59705912.309326,186262579.40374,0.0481725986757924,0.0154415823159779
"40","BYPL","Daryaganj",-1050398.36583664,3271366.43940882,335780.492868743,57,"GEETA COLONY",6992759.2632897,186262579.40374,0.0480183115457026,0.00180272652694726
"41","BYPL","Daryaganj",-1051369.55607207,3272239.40601903,6280872.71386377,58,"KASHMIRI GATE",6992759.2632897,186262579.40374,0.898196617011662,0.0337205290186036
"42","BYPL","Delhi Cantonment",-1058292.20157503,3271198.13646061,3645629.47117586,98,"KASHMIRI GATE",74652275.9513713,186262579.40374,0.0488348067720083,0.0195725275728822
"43","BYPL","Civil Lines",-1050055.46992521,3279835.95348134,6646605.61536031,37,"SOW",59705912.309326,186262579.40374,0.111322402728316,0.0356840629859057
"44","BYPL","Gandhi Nagar",-1048573.57840692,3269795.93352462,2452628.67926515,66,"PATPARGANJ",6171605.41212459,186262579.40374,0.397405296593779,0.0131675867859043
"45","BYPL","Connaught Place",-1052675.2979421,3271976.09621901,40389.3457486836,71,"KASHMIRI GATE",6119752.00935557,186262579.40374,0.0065998337329582,0.000216840902117737
"46","BYPL","Saraswati Vihar",-1057463.55768125,3276054.75291999,76136.9380788225,9,"KASHMIRI GATE",154625990.9875,186262579.40374,0.000492394180257687,0.000408761321369813
"47","BYPL","Shahdara",-1045530.84897183,3276056.45080939,3305232.75420357,111,"GEETA COLONY",5560166.02696311,186262579.40374,0.594448571890729,0.0177450176239598
"48","BYPL","Gandhi Nagar",-1049456.4755957,3270560.33013149,3500279.90228833,67,"GEETA COLONY",6171605.41212459,186262579.40374,0.567158732379709,0.0187921799080275
"49","BYPL","Karol Bagh",-1055926.02998133,3273533.42216564,3835913.0520426,63,"KASHMIRI GATE",4662103.07720022,186262579.40374,0.822785980602175,0.0205941153844323
"50","BYPL","Paharganj",-1053849.93077666,3273567.17918095,3367626.30201085,60,"KASHMIRI GATE",4014426.86723512,186262579.40374,0.838880969409775,0.018079993913921
"51","BYPL","Preet Vihar",-1046229.43951331,3267805.41737989,28419806.1603096,83,"PATPARGANJ",56404279.963122,186262579.40374,0.503859036564086,0.152579258009239
"52","BYPL","Defence Colony",-1047165.31959429,3263590.40801725,4220953.28785846,80,"PATPARGANJ",48638677.707989,186262579.40374,0.0867818264550634,0.0226613058906974
"53","BYPL","Kotwali",-1049473.21592037,3273268.46789181,7339.85445728112,43,"GEETA COLONY",3511727.46757444,186262579.40374,0.00209009797174004,3.94059530410097e-05
"54","BYPL","Preet Vihar",-1042798.12969594,3268058.74410814,15829230.697779,85,"GAZIPUR",56404279.963122,186262579.40374,0.280638822233497,0.0849834182928808
"55","BYPL","Seemapuri",-1042265.01606211,3278124.25829382,5002333.37171258,54,"SOW",8752612.47529547,186262579.40374,0.571524603177831,0.0268563518648026
"56","BYPL","Connaught Place",-1050778.85078301,3270081.49967434,2594.07855282599,70,"GEETA COLONY",6119752.00935557,186262579.40374,0.000423886221020115,1.39269979033368e-05
"57","BYPL","Parliament Street",-1054054.81474827,3272623.69428359,44619.0473482816,73,"KASHMIRI GATE",7640711.49838114,186262579.40374,0.00583964560862364,0.000239549175637507
"58","BYPL","Patel Nagar",-1057584.25355321,3274434.25435187,5653204.4167018,29,"KASHMIRI GATE",55165059.5244373,186262579.40374,0.102477989971125,0.0303507254908566
"59","BYPL","Vivek Vihar",-1049461.83228753,3274450.51926678,1474363.04083749,51,"KASHMIRI GATE",25057350.4009609,186262579.40374,0.0588395427786712,0.0079155085554876
"60","BYPL","Seelampur",-1047658.81091624,3280567.32314882,38924688.7384376,47,"SOW",45433670.2428318,186262579.40374,0.856736612525351,0.208977502958686
"61","BYPL","Kotwali",-1051162.64388658,3273914.26851423,3504387.61311716,44,"KASHMIRI GATE",3511727.46757444,186262579.40374,0.99790990202826,0.018814233241778
"62","BYPL","Seelampur",-1047793.85152597,3275657.17505391,851539.28043803,45,"GEETA COLONY",45433670.2428318,186262579.40374,0.0187424717370787,0.00457171420670733
"63","BYPL","Vivek Vihar",-1042452.78808696,3273253.81418588,5657787.1100425,52,"GAZIPUR",25057350.4009609,186262579.40374,0.225793510467313,0.0303753288940489
"64","BYPL","Vivek Vihar",-1044288.38747663,3271950.52761148,807728.197816108,49,"PATPARGANJ",25057350.4009609,186262579.40374,0.0322351798929679,0.0043365028037397
"65","BYPL","Sadar Bazaar",-1052405.23528803,3274902.68356145,4197617.70264335,41,"KASHMIRI GATE",4462705.43772986,186262579.40374,0.940599320572375,0.0225360226196839
"66","BYPL","Seemapuri",-1042342.9443061,3276525.03216908,3750279.10358289,53,"GEETA COLONY",8752612.47529547,186262579.40374,0.428475396822169,0.0201343668469975
"67","BYPL","Shahdara",-1045450.82664489,3276980.16631991,2254933.27275954,112,"SOW",5560166.02696311,186262579.40374,0.405551428109271,0.0121062066249592
