"subdiv_name","intercept","heating","cooling","threshold.t","sig.heating","sig.cooling"
"Chanakyapuri",1.1881314402693,-0.0424201464962058,0.148681030036008,20.491262846562,0.492413143977025,0.019015049163567
"Civil Lines",-0.333281377395796,0.0301087330070457,0.123830946515766,23.003689205741,0.208510269455547,3.30774692790694e-05
"Connaught Place",0.75477853851333,-0.0209998563177013,0.132643330360052,21.0018107073761,0.628657746537975,0.00405045229290475
"Daryaganj",2.99273241072368,-0.249248174964819,0.389868200076724,14.744493309742,0.00465973442113711,1.38358577905411e-05
"Defence Colony",0.522418151770573,-0.0219145450953417,0.178203411133375,22.6088801870213,0.536188381205929,5.54147107488698e-06
"Delhi Cantonment",0.198451627473105,-0.000520491154863689,0.113334938639777,20.5053775885942,0.986236222065446,0.000454585246307963
"Gandhi Nagar",1.02168282995932,-0.0279851523313748,0.20678077839505,22.7678672395991,0.330945478115197,6.21067183944091e-09
"Hauz Khas",1.29094680911477,-0.040972855413031,0.166829643906927,22.9835010152395,0.0767290951677025,7.93138213203748e-10
"Kalkaji",0.707884791216512,-0.0272017787276609,0.180245760139169,22.4855655923372,0.23745000575074,1.30216226315922e-11
"Karol Bagh",1.48365211608141,-0.0619550457638621,0.160687993968488,19.5146099536141,0.269163724835989,0.00524025471528515
"Kotwali",3.03758937583368,-0.252853342097094,0.39303058829405,14.7272853987466,0.00477122060095745,1.64214817164384e-05
"Model Town",0.743760570894728,-0.019076734058818,0.246198067687131,23.3616901569035,0.51155881471224,6.17126697727853e-10
"Najafgarh",0.317140536027492,0.00644837582065688,0.269897181415694,24.2695042620465,0.679884381903429,1.94520178447687e-16
"Narela",0.608401716471404,0.00563849301985546,0.108023341341434,24.5474047079281,0.71682022067537,5.92836341136751e-07
"Paharganj",0.907550935430276,-0.0397051590442697,0.168205934240356,20.9891833377569,0.164717179638288,1.41066211046197e-07
"Parliament Street",-1.37158613716,0.0951682240277024,-0.104113615759607,30.9694472074025,1.0171781340252e-12,0.0091104827014628
"Patel Nagar",0.546679068298021,-0.0159173870313495,0.163187482224493,20.9315928881739,0.474580439048481,5.554439370896e-10
"Preet Vihar",0.777577596941355,-0.0106197568277229,0.23929446554346,24.1352527821676,0.585818556135973,6.84364090625004e-11
"Punjabi Bagh",0.613714560680785,-0.0312786427430422,0.269895772040255,21.0002113277733,0.0839494102678741,4.7259266836399e-25
"Rajouri Garden",0.925469632601146,-0.0196151810043462,0.143406678739939,24.0318108634691,0.303508461053031,1.31482943138139e-08
"Sadar Bazaar",1.23039265035032,-0.0762625125410564,0.229459999155452,19.5191656117229,0.00933121631517513,5.02751966547824e-12
"Saraswati Vihar",0.537836829124579,-0.0268067563742701,0.226733560813876,20.3344640081899,0.230163272020298,1.85032513975058e-16
"Seelampur",1.00735549126794,-0.0319318044363801,0.225787838066143,22.6506731614881,0.117420627818792,4.37682557040377e-16
"Seemapuri",0.536200123326341,-0.00717411651339349,0.169061794087513,22.1357449341136,0.713136317810094,1.06514035919994e-10
"Shahdara",0.316819366174603,-0.00145077781166668,0.152174332113043,20.9970569666153,0.935737804300184,3.48165436305084e-11
"Vasant Vihar",-0.0239591833511485,-0.020543477574733,0.17581084081545,18.476015783798,0.570567260715692,4.36662394570791e-06
"Vivek Vihar",-0.081028498993586,0.018842130665798,0.140250234833241,22.0010329199813,0.34122597331518,2.70031491071661e-08
