"","shapes","polyArea"
"1","0 1",0.814619080241467
"2","0 2",52.3280062955181
"3","0 3",13.7361624511017
"4","0 4",119.524783712876
"5","0 5",83.0397222771792
"6","0 20",8.26053921231147
"7","1 1",85.6915724801612
"8","1 2",21.8670440993016
"9","1 3",35.0443529481871
"10","1 4",8.17776305391208
"11","1 19",4.9449021177448
"12","1 20",0.722496223907681
"13","2 2",10.0996034082081
"14","2 19",0.967234751468738
"15","2 20",12.2556708826692
"16","3 1",32.2010742204023
"17","3 2",1.26548460866472
"18","3 3",21.4001185294391
"19","3 16",5.85632300398402
"20","3 17",0.631312144231231
"21","3 18",13.772320487814
"22","4 2",2.31638226090648
"23","4 3",2.83824854952963
"24","4 9",6.43135779117483
"25","4 13",7.27431756432578
"26","4 16",25.2220665677767
"27","4 17",5.05310038270969
"28","4 18",0.0531307243347268
"29","4 19",5.9764556836686
"30","5 13",13.6021646418033
"31","5 16",0.297945134469569
"32","6 2",3.29743663080185
"33","6 12",3.27540010996366
"34","6 19",16.1565177821929
"35","6 20",33.1808085990445
"36","6 22",4.05066652655598
"37","7 12",1.88283233110482
"38","7 19",2.57987310662285
"39","8 11",0.00733985447246768
"40","8 12",3.50438761310252
"41","9 11",0.851539280393501
"42","9 12",2.40102065618543
"43","9 20",12.0848574688091
"44","9 22",31.9224036702817
"45","10 10",0.807728197865842
"46","10 11",17.1174720515343
"47","10 12",1.47436304066849
"48","10 21",5.78200323009296
"49","11 11",3.77266473226636
"50","11 22",6.01760829243816
"51","12 8",0.0785721092202304
"52","12 9",0.0532181302394827
"53","12 11",0.326195131079388
"54","12 12",6.53477389276241
"55","13 9",0.733880270232328
"56","13 12",0.359423417456757
"57","13 19",2.92112317954987
"58","14 9",3.28839073612807
"59","14 19",1.37371234107419
"60","15 8",0.639125256321083
"61","15 10",2.20007553110673
"62","15 11",3.33240462470768
"63","16 8",2.81970435431362
"64","16 9",3.22609495653991
"65","16 12",0.0739526984919446
"66","17 9",7.6407114983812
"67","18 8",6.27153303758073
"68","18 9",12.6767279368007
"69","19 6",1.80803592376184
"70","19 7",8.83386557269131
"71","19 8",38.1268647655712
"72","19 10",0.243467757592112
"73","20 7",1.45573241499391
"74","20 8",2.98145909449395
"75","20 10",26.9807724895101
"76","20 11",9.77739750111273
"77","20 21",17.9328788110259
"78","21 6",39.8771424618937
"79","21 7",34.6731252186549
"80","21 8",0.0686616775308807
"81","22 6",29.5314768291171
"82","22 8",9.40116813332546
"83","22 14",5.2938986300277
"84","22 15",121.724994636696
"85","23 9",12.2442276519833
"86","23 13",42.6065701112553
"87","23 14",12.2462062806042
"88","23 16",7.55527190750824
"89","24 8",1.21263824823632
"90","24 9",2.75549700093347
"91","24 13",0.569222828119496
"92","24 14",55.4908469983547
"93","24 15",8.93253171041052
"94","24 16",18.7426426815206
"95","24 17",10.9283652342624
"96","25 1",0.142565951500921
"97","25 13",5.66783995803898
"98","25 16",23.1373329735051
"99","25 17",72.4369213712343
"100","25 18",173.161539944662
"101","26 11",3.30523275334118
"102","26 22",2.25493327362005
