grid_name,meter
BAWANA,bawasum
GAZIPUR,gazisum
GEETA COLONY,geetasum
GOPALPUR,gopalsum
KANJHAWALA,kanjsum
KASHMIRI GATE,kashsum
LODHI ROAD,lodhisum
MEHRAULI,mehrasum
NAJAFGARH,najafsum
NARAINA,naraisum
NARELA,narelsum
OKHLA,okhlasum
PAPPANKALAN-1,pappIsum
PAPPANKALAN-2,pappIIsum
PARK STREET,parksum
PATPARGANJ,patpasum
ROHINI,rohisum
SARITA VIHAR,saritsum
SHALIMARBAGH,shalisum
SOW,sowsum
SUBZI MANDI,subzisum
VASANT KUNJ,vasansum
