"","Time","winter_in_Megawatts","summer_in_Megawatts","monsoon_in_Megawatts","fall_in_Megawatts"
"58","14:15 - 14:30",1002.00899501874,1591.70812552108,1568.13842274965,1063.72203601022
"59","14:30 - 14:45",996.583921098041,1609.79987769584,1582.40567895254,1065.07104387908
"60","14:45 - 15:00",990.438199232152,1620.30287517157,1593.5550914453,1064.22446529984
"61","15:00 - 15:15",985.760349086379,1627.77867070555,1600.70586979312,1062.15461557307
"62","15:15 - 15:30",977.00975748288,1629.37426313273,1598.57978819892,1056.81315393372
"63","15:30 - 15:45",972.040813459557,1626.83261614244,1596.82193674965,1053.41232070968
"64","15:45 - 16:00",970.293729961014,1625.44463381234,1594.33141935834,1053.63729754028
"65","16:00 - 16:15",973.627672818157,1621.12236293856,1590.18143347428,1056.92578672061
"66","16:15 - 16:30",979.477614509119,1613.45249769584,1582.86690906849,1058.7791078135
"67","16:30 - 16:45",989.865957599499,1602.6520510939,1575.32788843081,1063.4939352452
"68","16:45 - 17:00",1004.36353392603,1589.42428429778,1569.91791735834,1075.00725043645
"69","17:00 - 17:15",1027.99700063157,1573.98920041428,1562.26514840182,1092.9114636605
"70","17:15 - 17:30",1052.07311305139,1553.97313381234,1550.02182570617,1113.20081021787
"71","17:30 - 17:45",1084.95534780358,1534.66600352108,1536.00161222791,1153.10421327798
"72","17:45 - 18:00",1126.79383025256,1520.4061487638,1529.05629953225,1202.77458814137
"73","18:00 - 18:15",1167.88360436335,1501.90723089972,1525.21894301052,1250.09347502662
"74","18:15 - 18:30",1202.11056751204,1488.80635089972,1528.27934848878,1271.88911262225
"75","18:30 - 18:45",1225.71387748288,1485.9297510939,1537.47094956124,1279.67595174793
"76","18:45 - 19:00",1237.88156482982,1496.55998235603,1551.8163394453,1281.33937502662
"77","19:00 - 19:15",1238.85849707472,1510.63408410361,1568.80591060472,1274.55777284083
"78","19:15 - 19:30",1233.78360949454,1534.7116703172,1593.44704715544,1264.51707972607
"79","19:30 - 19:45",1224.44920366364,1555.4218295405,1614.24403796704,1253.298525737
"80","19:45 - 20:00",1211.85702115635,1572.97317089972,1633.77546993805,1241.19827316869
"81","20:00 - 20:15",1191.77766966947,1580.71257789001,1641.25359159023,1221.81935677525
"82","20:15 - 20:30",1178.89604156451,1589.11354682205,1647.57277782211,1206.80930672061
"83","20:30 - 20:45",1161.05870512136,1592.94974623953,1651.34109460472,1191.20696595558
"84","20:45 - 21:00",1140.54882908638,1598.47935769584,1655.79765086559,1174.14262344192
"85","21:00 - 21:15",1106.16375153536,1595.96749478322,1653.99663477863,1146.21566311405
"86","21:15 - 21:30",1083.62475794935,1609.36659983176,1665.48899877863,1128.47153633809
"87","21:30 - 21:45",1058.46302442166,1620.61634973467,1676.82312573515,1111.79002617416
"88","21:45 - 22:00",1028.96628319717,1633.37262080263,1687.58719341631,1093.76949163864
"89","22:00 - 22:15",982.145493926029,1637.89557750166,1687.78661611197,1066.65065513591
"90","22:15 - 22:30",946.135074217574,1648.96347789001,1699.09470843081,1047.81061754028
"91","22:30 - 22:45",908.46980844498,1655.15910740458,1704.02844631486,1026.6319130594
"92","22:45 - 23:00",869.427688911452,1655.99100080263,1702.9945570395,1002.99811087361
"93","23:00 - 23:15",822.075372293376,1644.30079051137,1687.41530388008,973.16853426159
"94","23:15 - 23:30",781.096048794834,1636.95820293856,1676.13919599602,946.158118414595
"95","23:30 - 23:45",742.566818007662,1626.01937439487,1657.57051405399,920.403331638639
"96","23:45 - 24:00",708.147375442064,1611.9006864337,1635.6830068366,896.940850873612
"97","TOTAL IN Mus",23.4798033617386,35.5249197386953,35.8257681849118,24.6295253164585
