"","Time","BRPL_monsoon","BYPL_monsoon","NDPL_monsoon","NDMC_monsoon","MES_monsoon"
"1","00:00 - 00:15",1607.43627289457,888.709996284376,1063.76570792029,143.282354439721,24.4978
"2","00:15 - 00:30",1583.40815715544,877.462131501768,1050.30106177536,140.675012120881,24.3152405797101
"3","00:30 - 00:45",1561.3828814453,866.746247009014,1037.10954806522,138.563865164359,24.1534876811594
"4","00:45 - 01:00",1540.59556034385,854.352799037999,1023.24890800725,136.716596903489,24.0209413043478
"5","01:00 - 01:15",1515.91240315544,839.491938023507,1004.91758099275,134.658302120881,23.7754514492754
"6","01:15 - 01:30",1495.24080130037,829.046175269884,991.443383282609,132.981770816533,23.6017594202899
"7","01:30 - 01:45",1478.0581648366,819.382344110463,980.875631050725,131.5897174832,23.47655
"8","01:45 - 02:00",1463.22193251776,810.439504110463,970.29006423913,130.17822806291,23.3900036231884
"9","02:00 - 02:15",1447.24433979312,800.539492226405,958.38184392029,128.972512120881,23.255115942029
"10","02:15 - 02:30",1432.07398953225,791.795433820608,947.138557224638,127.946844584649,23.144302173913
"11","02:30 - 02:45",1414.37630269168,781.755266864086,934.211088702898,126.854842265808,22.9723963768116
"12","02:45 - 03:00",1399.78188808298,774.036695704666,921.96553592029,125.824105888997,22.8691884057971
"13","03:00 - 03:15",1387.25276689457,766.636513965536,909.283758702898,124.958566178852,22.801965942029
"14","03:15 - 03:30",1373.37999240182,759.641511646695,897.894712036232,124.066050091895,22.6698565217391
"15","03:30 - 03:45",1361.99005819892,753.011718168434,888.763324210145,123.366262990446,22.5955514492754
"16","03:45 - 04:00",1351.96227750327,745.786069762637,880.203622876811,122.798574729576,22.526281884058
"17","04:00 - 04:15",1341.55251251776,737.249616719159,869.875867427536,122.204533860011,22.4699086956522
"18","04:15 - 04:30",1330.76566150327,728.792847443797,860.945028586956,121.648768207837,22.4911144927536
"19","04:30 - 04:45",1321.0238130395,722.900698168434,853.243487485507,121.220592845518,22.6172050724638
"20","04:45 - 05:00",1312.27831550327,718.072254110463,846.052011543478,121.210572555663,22.8487666666667
"21","05:00 - 05:15",1307.23807730037,715.917296139449,840.771056413043,121.112217628127,23.4199550724638
"22","05:15 - 05:30",1297.62211825689,713.138487443797,834.883925891304,120.343846468707,23.9998144927536
"23","05:30 - 05:45",1290.30739825689,713.447145704666,830.769847050725,119.132958207837,24.5441333333333
"24","05:45 - 06:00",1286.7558750395,715.865171066985,826.545150413043,117.819772845518,24.9960768115942
"25","06:00 - 06:15",1291.10376257573,726.338693820608,827.933459833333,118.120251396243,25.5045173913043
"26","06:15 - 06:30",1287.44426167718,734.526904545246,827.514810297101,119.645924729576,25.6435572463768
"27","06:30 - 06:45",1284.1374318511,741.627633240898,827.266028673913,122.427318932475,25.75145
"28","06:45 - 07:00",1278.70144243081,744.442544835101,825.747762586956,125.960394294794,25.9991942028986
"29","07:00 - 07:15",1274.56469298153,745.120494400318,825.495962181159,130.563068497692,26.2312710144928
"30","07:15 - 07:30",1268.09086422791,743.043572371333,826.560023543478,135.646820526678,26.5559514492754
"31","07:30 - 07:45",1263.90353448878,742.808663530753,828.259498210145,141.876534584649,27.0698565217391
"32","07:45 - 08:00",1261.57800680762,743.935680922057,829.577666326087,148.734309077402,27.7434101449275
"33","08:00 - 08:15",1263.77976472066,746.461959907565,830.642211166667,157.030022410736,28.4899768115942
"34","08:15 - 08:30",1270.51802872066,748.382808603217,834.788657601449,166.727097628127,29.151952173913
"35","08:30 - 08:45",1284.22089245979,751.020343530753,841.219122992754,177.109897773055,29.6659137681159
"36","08:45 - 09:00",1302.24249411197,754.611993965536,849.288249601449,187.80245038175,30.1253369565217
"37","09:00 - 09:15",1332.19681738733,763.538712806115,866.055747485507,198.82058096146,30.6424884057971
"38","09:15 - 09:30",1367.01446550327,780.236192951043,901.840242413043,209.704919657113,30.9852811594203
"39","09:30 - 09:45",1399.29299628588,797.125317878579,943.415545833333,220.357075309286,31.2160971014493
"40","09:45 - 10:00",1429.25147648878,812.019773820608,974.764493166667,228.971678787547,31.4908594202899
"41","10:00 - 10:15",1453.78726816994,828.857781066985,998.791484094203,236.571137628127,31.4352934782609
"42","10:15 - 10:30",1468.76470993805,840.713083530753,1016.66620015217,241.95725038175,31.5953652173913
"43","10:30 - 10:45",1479.88618396704,852.623796139449,1029.61858597826,245.657160091895,31.6151913043478
"44","10:45 - 11:00",1491.39058854675,862.409202081478,1040.34296386232,248.665207048417,31.5499797101449
"45","11:00 - 11:15",1497.02448141631,871.360024400318,1047.87973678986,250.637530526678,31.5480231884058
"46","11:15 - 11:30",1503.97330179312,877.402237009014,1052.55206148551,251.84291038175,31.5916094202899
"47","11:30 - 11:45",1510.6751332424,883.169252661188,1057.34572496377,252.851798932475,31.6805760869565
"48","11:45 - 12:00",1516.28200272066,888.693114835101,1062.80599563043,253.524553135373,31.8566557971014
"49","12:00 - 12:15",1519.05415953225,892.356038168434,1067.07550852899,254.400529657113,31.8692072463768
"50","12:15 - 12:30",1521.96991599602,893.225918168434,1068.89526105072,254.461028787547,31.888652173913
"51","12:30 - 12:45",1524.32426098153,894.011607733652,1070.88570041304,254.451104874504,31.84345
"52","12:45 - 13:00",1525.24513425689,892.882686748144,1062.25266061594,254.134424874504,31.8945804347826
"53","13:00 - 13:15",1508.18002057573,882.531737530753,1019.1515569058,254.236580236823,31.609581884058
"54","13:15 - 13:30",1505.74997048878,878.895433327855,1002.57914815217,252.6566074832,31.1275869565217
"55","13:30 - 13:45",1516.94334918443,881.738678487275,1016.2391167029,251.157204584649,30.4969594202899
"56","13:45 - 14:00",1535.18414640182,892.346594081478,1040.83327441304,250.051630816533,30.0818891304348
"57","14:00 - 14:15",1551.92691567718,902.669220893072,1058.13071673188,249.825252410736,29.7393608695652
"58","14:15 - 14:30",1568.13842274965,910.263114255391,1074.59842994928,250.077318352765,29.4552920289855
"59","14:30 - 14:45",1582.40567895254,919.203845965536,1090.19434519565,250.796933570156,29.0770695652174
"60","14:45 - 15:00",1593.5550914453,925.303404458289,1100.05850545652,250.308869657113,28.6978065217391
"61","15:00 - 15:15",1600.70586979312,930.780348139449,1106.78258812319,249.765088497692,28.4001239130435
"62","15:15 - 15:30",1598.57978819892,929.178553037999,1107.41502145652,248.343060671605,28.186852173913
"63","15:30 - 15:45",1596.82193674965,930.083010574231,1107.79246986232,247.742191686098,28.0469688405797
"64","15:45 - 16:00",1594.33141935834,927.574839472782,1104.76136363043,246.17148806291,27.9952724637681
"65","16:00 - 16:15",1590.18143347428,927.705719153941,1100.1250658913,245.375257048417,28.0227376811594
"66","16:15 - 16:30",1582.86690906849,926.417442603217,1092.32400797826,243.509263280301,27.8665768115942
"67","16:30 - 16:45",1575.32788843081,926.317232806115,1085.53743078986,241.251592265808,27.8259985507246
"68","16:45 - 17:00",1569.91791735834,925.595384110463,1078.15642577536,238.10145980204,27.9896420289855
"69","17:00 - 17:15",1562.26514840182,924.223673298869,1070.9148742971,233.777409077402,28.2261579710145
"70","17:15 - 17:30",1550.02182570617,920.527021559739,1062.4489051087,226.917900236823,28.267631884058
"71","17:30 - 17:45",1536.00161222791,918.208114545246,1049.95297061594,218.775292845518,27.9298152173913
"72","17:45 - 18:00",1529.05629953225,918.425460922057,1041.96300476087,210.567339946968,27.6620557971014
"73","18:00 - 18:15",1525.21894301052,918.847329037999,1036.38846157246,203.561770526678,27.3732992753623
"74","18:15 - 18:30",1528.27934848878,920.312870487275,1036.8048060942,197.826833135373,27.4686485507246
"75","18:30 - 18:45",1537.47094956124,924.342185559739,1045.08101719565,193.964439367257,27.6292760869565
"76","18:45 - 19:00",1551.8163394453,932.215495124956,1055.14142499275,191.391697628127,28.0387710144928
"77","19:00 - 19:15",1568.80591060472,937.33151019742,1066.39976513768,189.33319038175,28.5844217391304
"78","19:15 - 19:30",1593.44704715544,944.459353385826,1079.07284452899,187.348601541171,29.298802173913
"79","19:30 - 19:45",1614.24403796704,949.703616284376,1088.22330139855,184.777921541171,29.9777702898551
"80","19:45 - 20:00",1633.77546993805,952.357064835101,1095.38769971739,181.369901251315,30.5534115942029
"81","20:00 - 20:15",1641.25359159023,947.150936719159,1090.63529386232,176.917198497692,30.7602028985507
"82","20:15 - 20:30",1647.57277782211,942.090697588724,1085.68193386232,173.131083135373,30.8906094202899
"83","20:30 - 20:45",1651.34109460472,936.796698023507,1078.73581316667,170.097224874504,30.8933652173913
"84","20:45 - 21:00",1655.79765086559,931.085722661188,1069.65149067391,167.283878787547,30.7335956521739
"85","21:00 - 21:15",1653.99663477863,922.120152226405,1053.45465907971,164.308691251315,30.3082398550725
"86","21:15 - 21:30",1665.48899877863,923.367064255391,1058.46753580435,162.526892845518,29.9494601449275
"87","21:30 - 21:45",1676.82312573515,928.866574980028,1071.19989102174,161.100806468707,29.5241688405797
"88","21:45 - 22:00",1687.58719341631,935.312656284376,1083.87898073188,160.017923280301,28.998318115942
"89","22:00 - 22:15",1687.78661611197,936.242228168434,1091.3338847029,158.328175019431,28.1722166666667
"90","22:15 - 22:30",1699.09470843081,943.193622081478,1101.76607383333,157.119125309286,27.5968855072464
"91","22:30 - 22:45",1704.02844631486,947.539517298869,1109.54815073188,156.214316323779,27.0463594202899
"92","22:45 - 23:00",1702.9945570395,947.74278193655,1111.80414348551,154.853639512185,26.5084195652174
"93","23:00 - 23:15",1687.41530388008,939.624428168434,1104.68874881884,152.725714874504,25.8561210144928
"94","23:15 - 23:30",1676.13919599602,932.959648458289,1099.22694423913,150.51411980204,25.4312615942029
"95","23:30 - 23:45",1657.57051405399,923.989134690173,1091.22885994928,148.136739077402,25.1152268115942
"96","23:45 - 24:00",1635.6830068366,910.446719472782,1079.51124021014,145.7582874832,24.8272398550725
"97","TOTAL IN Mus",35.8257681849118,20.5008125562815,23.9379085639565,4.39869894057505,0.663082509057971
