"","Time","BRPL_winter","BYPL_winter","NDPL_winter","NDMC_winter","MES_winter"
"55","13:30 - 13:45",1015.34951746772,589.914817026239,736.850843451895,159.491910100793,25.4038483965015
"56","13:45 - 14:00",1011.27446405664,588.636636011662,752.602077620991,157.574173541026,24.6807463556851
"57","14:00 - 14:15",1006.94721041233,586.467236361516,758.688305959184,156.346156164933,24.0222973760933
"58","14:15 - 14:30",1002.00899501874,583.024098122449,763.02707587172,155.517629401085,23.4732944606414
"59","14:30 - 14:45",996.583921098041,580.382366180758,764.63715528863,155.040621455895,22.9296093294461
"60","14:45 - 15:00",990.438199232152,577.110021854227,763.72468438484,154.503555216828,22.396139941691
"61","15:00 - 15:15",985.760349086379,574.062438204082,760.991486600583,153.938836033155,22.0302973760933
"62","15:15 - 15:30",977.00975748288,569.795162962099,756.546271556851,153.013114167265,21.6528489795918
"63","15:30 - 15:45",972.040813459557,567.021213014577,753.807074938775,152.022857374262,21.526106122449
"64","15:45 - 16:00",970.293729961014,567.186803381924,751.516599137026,151.074123146857,21.5998029154519
"65","16:00 - 16:15",973.627672818157,569.535893970845,750.550615346939,150.426890727032,21.8878728862974
"66","16:15 - 16:30",979.477614509119,571.883869620991,749.195351556851,149.582880581259,22.1485760932945
"67","16:30 - 16:45",989.865957599499,577.33937103207,751.613163451895,148.781991601668,22.8271440233236
"68","16:45 - 17:00",1004.36353392603,586.582046134111,756.766221644315,148.258344721201,23.7576209912536
"69","17:00 - 17:15",1027.99700063157,600.537707568513,768.378259545189,148.227511718286,24.9110437317784
"70","17:15 - 17:30",1052.07311305139,615.396898542274,778.828252198251,147.741848044816,26.0470927113703
"71","17:30 - 17:45",1084.95534780358,635.493131358601,791.584210215743,147.297654342192,27.284549271137
"72","17:45 - 18:00",1126.79383025256,657.261816139942,810.787739078717,147.883166178927,28.7186577259475
"73","18:00 - 18:15",1167.88360436335,678.169571918367,831.336757037901,149.424461222659,30.0055113702624
"74","18:15 - 18:30",1202.11056751204,697.015712116618,850.845420361516,150.944579823242,31.1151696793003
"75","18:30 - 18:45",1225.71387748288,711.415060034985,866.767134530612,152.073129677469,31.9924816326531
"76","18:45 - 19:00",1237.88156482982,719.428504396501,874.936588408163,152.463624487965,32.6285994169096
"77","19:00 - 19:15",1238.85849707472,720.418547638484,869.19038619242,151.58482658709,32.933566180758
"78","19:15 - 19:30",1233.78360949454,716.616727580175,864.293546075802,150.217656441318,33.126293877551
"79","19:30 - 19:45",1224.44920366364,707.553293644315,854.660896396501,148.461420173096,33.2739206997085
"80","19:45 - 20:00",1211.85702115635,696.895772244898,840.789961002915,146.326013059394,33.3528536443149
"81","20:00 - 20:15",1191.77766966947,681.816280466472,823.513569516035,143.529122330531,33.1303510204082
"82","20:15 - 20:30",1178.89604156451,668.972219825073,806.089366483965,141.102981339277,32.9241889212828
"83","20:30 - 20:45",1161.05870512136,655.972041399417,783.523931498542,139.175077549189,32.4638367346939
"84","20:45 - 21:00",1140.54882908638,640.935199067055,757.600669107872,137.117190435487,31.8741224489796
"85","21:00 - 21:15",1106.16375153536,620.31368361516,722.890437504373,134.543501922367,30.8275195335277
"86","21:15 - 21:30",1083.62475794935,606.681588688047,709.12643587172,132.196192417994,29.9413084548105
"87","21:30 - 21:45",1058.46302442166,593.673279650146,699.80948858309,130.192326878636,28.8920069970845
"88","21:45 - 22:00",1028.96628319717,578.561756034985,688.974444734694,127.965109269306,27.5873632653061
"89","22:00 - 22:15",982.145493926029,554.489762565598,668.797709690962,124.729954983592,25.7795976676385
"90","22:15 - 22:30",946.135074217574,535.952993236152,652.521499311953,121.751132009831,24.3795137026239
"91","22:30 - 22:45",908.46980844498,517.042408046647,634.494564618076,119.129538190589,23.0671335276968
"92","22:45 - 23:00",869.427688911452,496.140536443149,614.631098029154,116.324083496711,21.8205084548105
"93","23:00 - 23:15",822.075372293376,469.818500291545,589.148203685131,113.049157782426,20.5821516034985
"94","23:15 - 23:30",781.096048794834,445.48894787172,567.26228496793,109.837953584175,19.6680163265306
"95","23:30 - 23:45",742.566818007662,422.341579008746,547.087980594752,106.929617840735,18.9243125364431
"96","23:45 - 24:00",708.147375442064,400.334857959184,528.352395172012,104.107088977761,18.3580618075802
"97","TOTAL IN Mus",23.4798033617386,13.2423661302157,16.7513210753236,3.15780266089696,0.630559744344023
