"","Time","BRPL_fall","BYPL_fall","NDPL_fall","NDMC_fall","MES_fall"
"61","15:00 - 15:15",1062.15461557307,632.267918354699,789.066966229508,162.976770949654,17.7339890710383
"62","15:15 - 15:30",1056.81315393372,629.766202944863,784.78333431694,162.346683955119,17.5461639344262
"63","15:30 - 15:45",1053.41232070968,627.350590923005,783.478799016393,161.390086796649,17.5174207650273
"64","15:45 - 16:00",1053.63729754028,626.195463272732,780.398297595628,160.467538818507,17.6314754098361
"65","16:00 - 16:15",1056.92578672061,628.506227644317,779.146657377049,159.452005485174,17.9222076502732
"66","16:15 - 16:30",1058.7791078135,630.383746332841,778.26851420765,157.923235867687,18.1986448087432
"67","16:30 - 16:45",1063.4939352452,635.843957917541,779.471136612022,156.836198490638,18.6626885245902
"68","16:45 - 17:00",1075.00725043645,644.145459775464,782.157760655738,155.281146687359,19.3412021857924
"69","17:00 - 17:15",1092.9114636605,656.658718354699,790.180851912568,154.12183499337,20.2621639344262
"70","17:15 - 17:30",1113.20081021787,671.203439010437,800.456749945355,152.921935321239,21.1645464480874
"71","17:30 - 17:45",1153.10421327798,692.815369939399,816.022696612022,152.323220567141,22.1918032786885
"72","17:45 - 18:00",1202.77458814137,719.738416715355,839.275238251366,152.295244173698,23.500349726776
"73","18:00 - 18:15",1250.09347502662,744.449340212623,862.973865245902,152.440728326704,24.6207650273224
"74","18:15 - 18:30",1271.88911262225,760.344652780929,881.141458688524,151.507653135447,25.2379672131148
"75","18:30 - 18:45",1279.67595174793,767.458771688033,890.823802295082,149.932276742004,25.368262295082
"76","18:45 - 19:00",1281.33937502662,769.389903491311,893.675329398907,148.162049856758,25.336306010929
"77","19:00 - 19:15",1274.55777284083,765.273358573279,889.428766775956,145.600631496102,25.2253989071038
"78","19:15 - 19:30",1264.51707972607,757.532503272732,882.473619672131,142.777079146376,25.0606557377049
"79","19:30 - 19:45",1253.298525737,747.059786551421,872.409533442623,139.85945226113,24.9667978142076
"80","19:45 - 20:00",1241.19827316869,735.656601633388,859.323763060109,136.733221222878,24.8019890710382
"81","20:00 - 20:15",1221.81935677525,720.548888409344,840.580136939891,133.059896632714,24.4833879781421
"82","20:15 - 20:30",1206.80930672061,708.991946114262,824.295490601093,130.020861004299,24.1747322404372
"83","20:30 - 20:45",1191.20696595558,695.85262108694,804.877469617486,127.521150403206,23.7650491803279
"84","20:45 - 21:00",1174.14262344192,681.844574092404,782.996791803279,125.208605485174,23.2479344262295
"85","21:00 - 21:15",1146.21566311405,662.395989392951,755.103821420765,122.392399583534,22.4775737704918
"86","21:15 - 21:30",1128.47153633809,651.716229392951,744.147898797814,119.88344657807,21.7986010928962
"87","21:30 - 21:45",1111.79002617416,643.287362507705,739.042389726776,117.920992370419,21.0583825136612
"88","21:45 - 22:00",1093.76949163864,634.293593545956,734.702084699454,115.924651605392,20.1856393442623
"89","22:00 - 22:15",1066.65065513591,621.247331032295,724.388144371585,113.226458599928,19.0991475409836
"90","22:15 - 22:30",1047.81061754028,611.861599447595,716.139744590164,110.657024720146,18.2042841530055
"91","22:30 - 22:45",1026.6319130594,601.582465458524,707.373496502732,108.673301222878,17.4148633879781
"92","22:45 - 23:00",1002.99811087361,589.410667207158,696.406260655738,106.480484173698,16.7185136612022
"93","23:00 - 23:15",973.16853426159,572.450738026831,680.378896065574,103.94654078572,16.0486775956284
"94","23:15 - 23:30",946.158118414595,556.801843600601,666.294994754098,101.443955649108,15.5330928961749
"95","23:30 - 23:45",920.403331638639,542.043831360164,653.408146120219,99.0599895288894,15.1173333333333
"96","23:45 - 24:00",896.940850873612,527.60516950224,640.305150819672,96.6173578349003,14.7786666666667
"97","TOTAL IN Mus",24.6295253164585,14.3684506339554,17.2915968998087,3.03849600159934,0.481756215519126
