"","Time","Central","East","New Delhi","North","North East","North West","South","South West","West"
"1","00:00 - 00:15",0.000449508096284156,0.000581376573262555,0.00311755072365573,0.000366062524821611,0.000521518596961602,0.000705663202643194,0.000794981284279181,0.000665558028535758,0.000476920127744599
"2","00:15 - 00:30",0.000439648761016863,0.000568624886252401,0.00304690116709965,0.000358270619889087,0.000510079811457898,0.000692471131681663,0.000776681976522549,0.000650542963305259,0.000466792806540904
"3","00:30 - 00:45",0.000430254962685474,0.000556475306903401,0.00299340116395243,0.000350977399354489,0.000499181141186052,0.000681162212347408,0.000761783452647467,0.000638352086681321,0.000458389075286411
"4","00:45 - 01:00",0.000421376365226822,0.000544992068651279,0.00294710889470468,0.000343997224770659,0.000488880206168642,0.000669635567804531,0.000747839928423725,0.00062695904096963,0.000450261223193687
"5","01:00 - 01:15",0.000412667692726995,0.000533728604839462,0.00290315072941065,0.000336986241212352,0.000478776417825224,0.000656745141203414,0.000735272269597946,0.000616698317977429,0.000442238063122476
"6","01:15 - 01:30",0.000405722203292642,0.000524745574544002,0.00286299410913407,0.000331469474671263,0.000470718271742966,0.000647184968986898,0.000725258836904028,0.000608521690908525,0.000436043579839337
"7","01:30 - 01:45",0.000399894465273552,0.000517208201163147,0.00283174710506696,0.000327031753479512,0.000463956939121151,0.000641006201202184,0.000717282993923659,0.000602027860989298,0.000431509950369107
"8","01:45 - 02:00",0.000394553682998257,0.000510300637710076,0.00280682256921513,0.000322898512813867,0.00045776057179893,0.000634704495687041,0.000710343414272684,0.000596383129345472,0.000427307267109115
"9","02:00 - 02:15",0.000390201093577691,0.000504671165086411,0.00278594281027454,0.000319420053229622,0.000452710704295924,0.00062850883398698,0.000704252057506352,0.000591446897523979,0.000423433096400723
"10","02:15 - 02:30",0.000385916239360686,0.000499129298583438,0.00276724298804776,0.00031597137999099,0.000447739423071158,0.000622174962097234,0.000698335107170678,0.000586625699118684,0.000419581860953363
"11","02:30 - 02:45",0.000382084117720323,0.000494172979073252,0.00274940200201334,0.000312954858379918,0.00044329340148047,0.000617163433112713,0.0006932593879884,0.000582524663208638,0.000416395774369007
"12","02:45 - 03:00",0.000378261248600569,0.000489228626419215,0.00273699781566528,0.000309803788200185,0.00043885811464986,0.000610797119758097,0.000689344524849507,0.000579401018124891,0.000413241110390182
"13","03:00 - 03:15",0.000374528210478058,0.000484400457740019,0.0027275886216335,0.000306676481704329,0.00043452704960309,0.000604095826382068,0.000686288310019722,0.00057701308214578,0.000410295677200592
"14","03:15 - 03:30",0.00037126958812506,0.000480185880265658,0.00271906424727924,0.000304144693990636,0.000430746400997178,0.00060015516710327,0.00068344173521703,0.000574741929235709,0.000408193785959144
"15","03:30 - 03:45",0.000368926048930536,0.00047715483633679,0.00270959089303035,0.000302306003229686,0.000428027430454142,0.000597148830836164,0.000682315280548007,0.000573916721286721,0.000406958620641847
"16","03:45 - 04:00",0.000367399131234525,0.000475179979409631,0.00270234245742572,0.000301180586273116,0.000426255902908627,0.000595889455494284,0.000683105847407,0.000574725131041217,0.000406886138192377
"17","04:00 - 04:15",0.000367342966784395,0.000475107338458721,0.00270429918219015,0.000301187882351561,0.000426190741000592,0.000596312395964708,0.000688313457356977,0.00057940218925714,0.000408839423897412
"18","04:15 - 04:30",0.000367575776645955,0.000475408445826206,0.00270527498722768,0.000301536209951684,0.00042646084664132,0.000598207669772737,0.000693311771793944,0.000584002131205129,0.000411129427492433
"19","04:30 - 04:45",0.000370741540736437,0.000479502923976648,0.00271099875623579,0.000303980262120076,0.000430133761234912,0.000601885795781237,0.000700857947289913,0.000591123566700744,0.000414814453555852
"20","04:45 - 05:00",0.000375399148211627,0.000485526895281975,0.0027281593806811,0.000307573644783819,0.00043553751021238,0.00060727397271361,0.0007126872265777,0.000602179066073125,0.000420485774642409
"21","05:00 - 05:15",0.000384642245577072,0.00049748156376754,0.0027603719172451,0.000314704062901842,0.000446261337456993,0.000617960074728852,0.000734569038095318,0.000622603595176332,0.000431177057752821
"22","05:15 - 05:30",0.000396302464140093,0.000512562444329425,0.00280289692643949,0.000323803219115227,0.000459789504970595,0.000632443845177427,0.000757773567175554,0.000644356717884715,0.000443393298113458
"23","05:30 - 05:45",0.000411986176341779,0.000532847157622082,0.00284846965744801,0.000335910530218345,0.000477985723570854,0.000650656992503325,0.000788206730229519,0.000672004701902211,0.000459196938719881
"24","05:45 - 06:00",0.000430114801066324,0.000556294027227867,0.00289848923318417,0.000349885393823162,0.000499018525892643,0.000671518159963462,0.000822720144202636,0.000702544142876398,0.000477176883795225
"25","06:00 - 06:15",0.00045437494425292,0.000587671168216593,0.00295883358270233,0.000368324873261237,0.000527165106435572,0.000696910019029779,0.000864494137022966,0.000738283913512072,0.000498978891878324
"26","06:15 - 06:30",0.000478062584078549,0.000618307855262595,0.00300975178274172,0.000386332766403236,0.000554647469465992,0.000721736958051623,0.000895928121779043,0.000765003890273005,0.000516979167268656
"27","06:30 - 06:45",0.00049777857986117,0.000643807769861048,0.0030588740146454,0.000401166501864858,0.000577521937230313,0.000740909156694505,0.000920799385224788,0.000786056113277556,0.000531089951342924
"28","06:45 - 07:00",0.000514110526842444,0.000664930885215741,0.00316091065733022,0.000413101858821452,0.000596470236817649,0.000753395212212586,0.000938689661012304,0.000801439689829635,0.000540876278276362
"29","07:00 - 07:15",0.000524933978763219,0.00067892952381778,0.00328093161964355,0.000421096042331943,0.000609027588969179,0.000762483558915036,0.000951252768225779,0.000812122566912612,0.00054783782589044
"30","07:15 - 07:30",0.000528995464104183,0.000684182493562719,0.00339744358853819,0.000424565060562622,0.000613739717969989,0.000770415912522082,0.000953564650558954,0.000813974513282139,0.000550864142211707
"31","07:30 - 07:45",0.000532015537762869,0.000688088541282886,0.00353171648527056,0.000427117999638804,0.000617243602750305,0.000776058130489007,0.000951792072012851,0.000812441655382684,0.000551812447410808
"32","07:45 - 08:00",0.000534608150691953,0.00069144172765031,0.00366691222015198,0.000429219401564436,0.000620251548254329,0.000780032512339415,0.000950714901410798,0.000811557516975239,0.000552540854712757
"33","08:00 - 08:15",0.000537953498377041,0.000695768472351031,0.00383826231290518,0.000431906374382305,0.000624132815456184,0.00078492424580628,0.000952825792096061,0.000813234993136676,0.000554648617867239
"34","08:15 - 08:30",0.000538946363559156,0.000697052606189912,0.00402962583261715,0.000433033438703017,0.000625284736102395,0.000789552517955095,0.000957466480683691,0.000816842674964424,0.000557574531336039
"35","08:30 - 08:45",0.000540489631921215,0.000699048610442951,0.00422621898911242,0.00043438466251015,0.00062707523366533,0.000792885418265673,0.000963245075505579,0.00082147082807682,0.00056054034300739
"36","08:45 - 09:00",0.000541094371174626,0.000699830757055597,0.00442180048019543,0.000435210441839888,0.000627776851210316,0.000797046926879078,0.000970485878494389,0.000827087265820473,0.000564252509114272
"37","09:00 - 09:15",0.000544664547766531,0.000704448286862294,0.00461867531867537,0.000438645589433167,0.00063191896456157,0.000807737513073429,0.000981967467774271,0.000836169601243171,0.000571279585797251
"38","09:15 - 09:30",0.000552740964182606,0.000714894014845914,0.00480312719536531,0.000446941483269153,0.000641289210376067,0.000836980668265806,0.000997892032946867,0.000848784724361938,0.000585044945559767
"39","09:30 - 09:45",0.000561453349517423,0.000726162280696452,0.00498198036475524,0.000456046446712632,0.000651397306344889,0.000870028220665444,0.00101181518268074,0.000859777799952972,0.000599165580371261
"40","09:45 - 10:00",0.000570002566017011,0.000737219510218448,0.00514263236175909,0.000464223486823756,0.000661316094083847,0.000895157489390313,0.00102345252410336,0.000868936317933881,0.000610273011049711
"41","10:00 - 10:15",0.000575985875332037,0.000744958093561207,0.0052754259766701,0.000469856250934546,0.000668257920282206,0.000911876569047754,0.00103077870322822,0.000874383149403578,0.000617516279668603
"42","10:15 - 10:30",0.000580581502650502,0.000750901902103228,0.00536371375887497,0.000474074509473225,0.000673589759977857,0.000923676038487657,0.00103436052329011,0.000876750572029544,0.000622068313227169
"43","10:30 - 10:45",0.000584814188331237,0.000756376295817391,0.00543938876029123,0.000477835172318437,0.000678500515347659,0.000933344203737273,0.00103538383008726,0.000877058487864892,0.000625124422699037
"44","10:45 - 11:00",0.000587706407434473,0.000760116981347337,0.00549176038095896,0.000480165569515916,0.000681856063470805,0.000937644433736537,0.00103074208782537,0.00087262263085768,0.000624687377055246
"45","11:00 - 11:15",0.000589142312221735,0.000761974125660532,0.00553173997255712,0.000481028768379846,0.000683521997980579,0.000936948138841708,0.00102738563642266,0.000869405358879297,0.000623310303693716
"46","11:15 - 11:30",0.000588813818650071,0.00076154926464332,0.00555630429328267,0.000480724879330198,0.000683140880247615,0.000936081880445721,0.00102415206907832,0.000866459391411888,0.0006219291543106
"47","11:30 - 11:45",0.00058685439936043,0.000759015026702751,0.00556460350620678,0.000479203609810002,0.000680867565023172,0.000933722970161261,0.00102024534164295,0.000863246592911512,0.00061989460944113
"48","11:45 - 12:00",0.000585957226663101,0.000757854657862436,0.00557636316256584,0.000478409518523377,0.00067982666664957,0.000931702878574528,0.00101656363381312,0.000860178087555407,0.000618033832150816
"49","12:00 - 12:15",0.00058480655683774,0.000756366425535687,0.00558623912415534,0.00047736945589058,0.000678491661300725,0.000928903841093863,0.00101132184996085,0.000855784132710685,0.000615406053584755
"50","12:15 - 12:30",0.000583048057544889,0.000754092049831637,0.00557779764949182,0.000475906263936339,0.000676451453145307,0.000925843179570618,0.00100575355547648,0.000850995727031734,0.000612590259554457
"51","12:30 - 12:45",0.000577756096264699,0.000747247629585712,0.00557945439880461,0.000471694145598922,0.000670311727865976,0.000918474781542299,0.000998739419661987,0.000844985436654701,0.000608063909082785
"52","12:45 - 13:00",0.000570728106507614,0.000738157896529345,0.00555705572819223,0.00046541654971943,0.000662157865037088,0.000902100197512032,0.000986571592177266,0.000834845876137954,0.000599210293186456
"53","13:00 - 13:15",0.000555815465476658,0.000718870457187226,0.00553673174391397,0.000450543414735756,0.000644856242014619,0.000852390681820206,0.000961621756921316,0.000814144640846521,0.000576558106339627
"54","13:15 - 13:30",0.000548094190387565,0.000708884055407987,0.00549492312933115,0.000442789467501875,0.000635898030617525,0.000826140724676652,0.000950263032752004,0.000803724810993137,0.000565236427072
"55","13:30 - 13:45",0.000546684899401419,0.000707061332366894,0.00543910738308047,0.000442913655237624,0.000634262973398576,0.000836185725707857,0.000951962846785454,0.000803472366222095,0.00056863602556957
"56","13:45 - 14:00",0.000548744611207482,0.000709725284810945,0.00539515795807839,0.000446315036512176,0.000636652647845205,0.000856034267318776,0.000954737168566898,0.000804450532607642,0.000575147521042701
"57","14:00 - 14:15",0.000550370036725907,0.000711827547986642,0.0053789245814932,0.000448425386009216,0.000638538464013684,0.000866167315322276,0.000958930273950927,0.000806675989869174,0.000579450402917331
"58","14:15 - 14:30",0.000551514187916347,0.00071330734936039,0.00537242301282659,0.000450201547898773,0.000639865906452392,0.000876101332767769,0.000960519932394072,0.000807035665152619,0.000582780236269146
"59","14:30 - 14:45",0.000552984913312151,0.000715209529316415,0.0053721528263041,0.000451898720651066,0.000641572239778255,0.000883223724572641,0.000961738059783682,0.000807019355264466,0.000585195254477148
"60","14:45 - 15:00",0.000552329339274127,0.000714361634938323,0.00536705508520197,0.000451594569497358,0.000640811643794911,0.000884408497658241,0.000960973616092407,0.00080554258072122,0.000585256144899928
"61","15:00 - 15:15",0.000551779799065076,0.000713650880657702,0.00536372456638651,0.000451021657340051,0.000640174068095681,0.000882337396563535,0.000959104582780773,0.00080338812113826,0.000584020005718415
"62","15:15 - 15:30",0.000549596553662163,0.000710827154585959,0.0053429877885509,0.000449102317977814,0.000637641070161356,0.000877547424620301,0.000954281348703609,0.000799134812057917,0.000580984674467535
"63","15:30 - 15:45",0.000547488450629657,0.000708100614781105,0.00531150524260816,0.000447577590184394,0.000635195252288771,0.000876088688758743,0.000951210463652952,0.000796623090855945,0.000579495679956273
"64","15:45 - 16:00",0.000546480371484315,0.000706796803784282,0.00528114328841557,0.000446563432807844,0.000634025680425993,0.000872644061471029,0.000951413613275507,0.000797031600708908,0.000578606926466149
"65","16:00 - 16:15",0.000548496974040962,0.000709405000374527,0.00524772109544756,0.000447731962907499,0.000636365339588232,0.000871244473072122,0.000954383053879573,0.000800028530731785,0.000579263275783631
"66","16:15 - 16:30",0.000550135483373193,0.000711524185654405,0.00519740779554672,0.000448697512851675,0.00063826633557722,0.000870262530358692,0.000956056566122982,0.000801960823212964,0.000579579326169907
"67","16:30 - 16:45",0.000554900606454084,0.000717687213530529,0.00516163233472562,0.000451941383866769,0.000643794823993865,0.000871607306869098,0.000960313961920603,0.00080635964781719,0.00058145472326893
"68","16:45 - 17:00",0.000562145321699202,0.000727057251041059,0.00511045406244394,0.000456972819695463,0.000652200131398232,0.000874611499118591,0.000970710257526746,0.000816118849738696,0.000585956355610432
"69","17:00 - 17:15",0.000573065634281986,0.000741181165517388,0.00507229998332631,0.000465017975271023,0.000664869861139775,0.000883582947366855,0.00098687740749013,0.000831005301000477,0.000594155521907811
