"","Time","Central","East","New Delhi","North","North East","North West","South","South West","West"
"1","00:00 - 00:15",0.000750770296466135,0.000971017576490709,0.00462073872679256,0.000606351837746873,0.000871042534917886,0.00112995881178863,0.00142198692010104,0.00118529777231176,0.000816194453787337
"2","00:15 - 00:30",0.000740871247869407,0.000958214525779722,0.00454566043222017,0.000598729432193291,0.000859557674070893,0.00111864960529873,0.00140800061881909,0.00117392808589108,0.000808112146405206
"3","00:30 - 00:45",0.000733085032943553,0.000948144133300257,0.00448551353423939,0.000592260644739977,0.00085052411957579,0.00110519291613331,0.00139275439856269,0.00116155016205476,0.000798987081280045
"4","00:45 - 01:00",0.00072475141218429,0.000937365747059963,0.0044214687114075,0.000585475432415007,0.00084085546568077,0.00109212358545023,0.00137797158932081,0.00114947045478798,0.000790133335198413
"5","01:00 - 01:15",0.000713877425055673,0.000923301748153612,0.00436296267160438,0.000576744814993908,0.000828239482659387,0.0010762552431489,0.00136153209511316,0.00113603404428107,0.000779915350797704
"6","01:15 - 01:30",0.000706167375007636,0.000913329864412997,0.00430892437025806,0.000570376327269056,0.000819294294537539,0.00106328698133809,0.0013474128011546,0.00112441172868503,0.000771323631881321
"7","01:30 - 01:45",0.000698277832987544,0.000903125832623206,0.00426182006003857,0.000564052501789708,0.000810140860107768,0.00105187607652509,0.00133339898755644,0.00111297067431776,0.000763203274869966
"8","01:45 - 02:00",0.000691031741091963,0.000893754014605639,0.00422277088688688,0.00055820085399229,0.000801733955515667,0.00104097585001241,0.00132082606559353,0.00110278454108327,0.000755733121575497
"9","02:00 - 02:15",0.000683732024448122,0.000884312840390388,0.00418473172921616,0.000552208997840368,0.000793264835573704,0.0010290610653589,0.00130902001052043,0.00109314319666424,0.000748250387298607
"10","02:15 - 02:30",0.000676530375232759,0.000874998502835008,0.00415140006805861,0.000546368082606171,0.000784909493310344,0.00101798524138894,0.00129834710792513,0.00108447737971039,0.000741400921210305
"11","02:30 - 02:45",0.000669177142292612,0.000865488112689685,0.00412247048955876,0.000540506523785663,0.000776378283844312,0.00100766217818769,0.00128684164198437,0.00107517049665193,0.000734467893721896
"12","02:45 - 03:00",0.000663910387248897,0.000858676293225608,0.00409516576747277,0.000535840116504639,0.000770267802801491,0.00099575737833096,0.00127559680979263,0.00106609438063268,0.000727185740691112
"13","03:00 - 03:15",0.000656746374929771,0.000849410633791811,0.00406781353855297,0.000529807444257116,0.000761956126806841,0.000982597221844815,0.00126454700115956,0.00105708811413176,0.000719622332204468
"14","03:15 - 03:30",0.000649481733513036,0.000840014824533299,0.00403548626925332,0.000523879852490043,0.000753527701089033,0.000971081558196765,0.00125166347101687,0.00104655046891532,0.000711871126097792
"15","03:30 - 03:45",0.000643122609174476,0.000831790176418028,0.00401185457822027,0.000518738417813176,0.000746149854882557,0.000961457131677916,0.00124130935444588,0.00103814041463904,0.000705538658210788
"16","03:45 - 04:00",0.000637206885919809,0.000824139006299851,0.00398406653129498,0.000513612355004387,0.000739286441926727,0.000949196979035406,0.00123137706726507,0.00103011252825957,0.000698620027557624
"17","04:00 - 04:15",0.00063086580247967,0.00081593769159234,0.00395755383261093,0.000508369955105311,0.000731929526742651,0.000938486245557616,0.001221987650726,0.00102251891746836,0.000692324699692348
"18","04:15 - 04:30",0.000623749846748064,0.000806734186710164,0.00393373403138684,0.000502745281334059,0.000723673605926395,0.000928956396251527,0.00120978356057988,0.00101271721295448,0.000685366594552044
"19","04:30 - 04:45",0.000618927934267268,0.000800497709597003,0.00391330069927836,0.000498686857809521,0.000718079230535954,0.00092011803374819,0.00119996681979696,0.00100512172708303,0.000679442671756833
"20","04:45 - 05:00",0.000616172017937615,0.000796933312859376,0.0038858213764776,0.000495948675122368,0.000714881820679568,0.000911032058663343,0.00119214815642015,0.000999338426495944,0.000674153918167244
"21","05:00 - 05:15",0.000615662409475447,0.000796274204772359,0.00385688663446931,0.000494997817790982,0.000714290573731211,0.000905067854740618,0.0011878998066033,0.000996854539542248,0.000670993826954478
"22","05:15 - 05:30",0.000613610532667721,0.000793620385815383,0.00380013727391677,0.00049268890664417,0.000711909989437514,0.000895698648712085,0.00117488168612275,0.000986890161451111,0.000663793611640941
"23","05:30 - 05:45",0.000612056883814317,0.000791610955832003,0.00373586873313513,0.000490915363689037,0.000710107448444602,0.000888360880377274,0.00116461407102179,0.000979368745409651,0.000658129143682285
"24","05:45 - 06:00",0.000614708385818856,0.000795040307076487,0.00369842688091818,0.000492031680883338,0.000713183716962742,0.000882471914718773,0.00115948016677353,0.000976228802059411,0.000654677923670511
"25","06:00 - 06:15",0.000623576545603498,0.000806510045640397,0.00372067866266411,0.000497740784134203,0.000723472542206936,0.000881814320445182,0.00115754944046851,0.000975575455588422,0.000653814122789846
"26","06:15 - 06:30",0.000629239640529208,0.000813834475943625,0.00375876403629153,0.000501390897845576,0.000730042856166865,0.000881436334896073,0.00115072729095694,0.000970605426241979,0.000651304341703199
"27","06:30 - 06:45",0.000633837152861594,0.000819780722490529,0.00383626019481379,0.000504210029020548,0.000735376882852746,0.000879740076186736,0.00114567401407337,0.000966909514995225,0.000649050451934321
"28","06:45 - 07:00",0.000635554631868726,0.000822002044126492,0.00394833628626796,0.000504979640509157,0.000737369499336219,0.00087637399722281,0.00113839710076617,0.000961368581727383,0.000645547322460491
"29","07:00 - 07:15",0.00063597163167919,0.000822541375726662,0.00409257754608735,0.000504922409608173,0.000737853301870332,0.000873204331127493,0.00113396043802387,0.000958120425694974,0.000643099970826755
"30","07:15 - 07:30",0.000633785270715998,0.000819713620108458,0.00425090354687658,0.000503438678337696,0.000735316689267797,0.000872632031783904,0.00112566769461469,0.00095201029980578,0.000640017719211228
"31","07:30 - 07:45",0.000633252501067362,0.000819024556229026,0.00442012602667066,0.000503130319075204,0.000734698570746781,0.000873005228925328,0.00112196601321647,0.000950060316020157,0.000638817144034064
"32","07:45 - 08:00",0.000633389545705764,0.000819201804520918,0.00462592533681827,0.000503384364778044,0.000734857569723955,0.000874593131115741,0.00112057254189303,0.000950003299818619,0.000638768730985988
"33","08:00 - 08:15",0.000635148199515338,0.000821476380070986,0.00487285284799763,0.000504955062561255,0.000736897957149436,0.000878688894820515,0.00112119047631409,0.0009518562451079,0.000640128402364464
"34","08:15 - 08:30",0.000635523811686393,0.000821962182481862,0.00516496863072766,0.000505526901919082,0.000737333741808421,0.000881841654982571,0.00112557484072281,0.000956823663552153,0.000642552608639402
"35","08:30 - 08:45",0.00063689651844645,0.000823737588884669,0.00549074200830443,0.000507057454901839,0.000738926354064935,0.000887973677032095,0.00113457208244268,0.000965232475910334,0.00064743318753657
"36","08:45 - 09:00",0.000640741500692101,0.000828710541809679,0.00583013759663604,0.000510460955517007,0.000743387296509956,0.000896633917109645,0.00115093848750459,0.000979276499196827,0.000655615815455165
"37","09:00 - 09:15",0.000650182922951408,0.000840921716124926,0.00620215559862031,0.00051862952313558,0.000754341219989197,0.000916079866531375,0.00117874827099168,0.0010023561516511,0.00067083857305895
"38","09:15 - 09:30",0.000664865448909342,0.00085991153343595,0.00657326178125065,0.000532378733027208,0.000771375863860424,0.000956402477582179,0.00120804046672146,0.00102641362526228,0.000692404141982178
