"","Time","Central","East","New Delhi","North","North East","North West","South","South West","West"
"1","00:00 - 00:15",0.000775576632850477,0.00100310114286369,0.00471556210102751,0.000628691249483818,0.000899822807962716,0.00118950647467221,0.001451483120496,0.00121076878239145,0.000843191808006825
"2","00:15 - 00:30",0.000765760628606882,0.000990405498541719,0.00462975192104265,0.000620734144616594,0.000888434295045581,0.00117445026102543,0.00142978620784025,0.00119306690904273,0.000831347316890287
"3","00:30 - 00:45",0.000756408883214513,0.000978310308855075,0.00456027201462429,0.00061311118131687,0.00087758441452844,0.00115969946500699,0.00140989782006612,0.0011768526362073,0.000820225372182833
"4","00:45 - 01:00",0.000745593129271208,0.000964321626522566,0.00449947661357542,0.000604456823466133,0.000865035993558446,0.00114420044960416,0.00139112728078697,0.00116159317061598,0.000809288800960163
"5","01:00 - 01:15",0.00073262406557769,0.00094754793574616,0.00443173612377426,0.00059388092480202,0.000849989305952014,0.00112370229666435,0.00136883887867508,0.00114328348697506,0.0007957186490839
"6","01:15 - 01:30",0.000723508055250494,0.000935757636773435,0.00437655984257143,0.000586378736490576,0.000839412924892304,0.00110863540242449,0.00135017283158369,0.00112801846233944,0.000784939379173768
"7","01:30 - 01:45",0.000715074436114448,0.000924849916458612,0.00433074600899128,0.000579658334370855,0.000829628253035451,0.00109681850551856,0.00133465725114462,0.00111537129503413,0.00077617654977022
"8","01:45 - 02:00",0.000707270025491952,0.000914755990361288,0.00428429251482343,0.000573345775523013,0.000820573587921291,0.0010849816882883,0.00132126042717985,0.00110449778248419,0.00076815490163674
"9","02:00 - 02:15",0.000698630291591895,0.000903581689096779,0.00424461122662106,0.000566335564067718,0.000810549782034531,0.00107166587535542,0.00130683297737233,0.00109269769102942,0.000759357680012074
"10","02:15 - 02:30",0.000690999357536726,0.00089371213095431,0.00421085550714659,0.000560059706025173,0.000801696384165046,0.0010590935934878,0.00129313445152283,0.00108153107509673,0.000751024654701291
"11","02:30 - 02:45",0.000682237310396542,0.000882379634424805,0.00417491664524627,0.000552851549882976,0.000791530670646571,0.00104463805370753,0.00127715379079365,0.00106841201269892,0.000741362266708443
"12","02:45 - 03:00",0.000675501318390975,0.000873667560088227,0.00414099410528211,0.000547042428520742,0.000783715583156651,0.00103094503445301,0.00126397532343214,0.00105767667685194,0.000732900072757913
"13","03:00 - 03:15",0.000669043184624378,0.000865314856966899,0.00411250834881856,0.000541363709128737,0.000776222866365146,0.00101676422753461,0.00125266177512774,0.00104850672665348,0.00072495915757448
"14","03:15 - 03:30",0.000662938650673021,0.000857419486317643,0.0040831347734703,0.000536065342219341,0.000769140395531509,0.00100402895636589,0.00124013493449946,0.00103822873320414,0.000716993640339328
"15","03:30 - 03:45",0.000657152834238119,0.000849936332709831,0.00406010409710206,0.000531236561723465,0.000762427700266728,0.000993818207080593,0.00122985004948234,0.00102986403134931,0.000710522107436329
"16","03:45 - 04:00",0.000650847015597439,0.000841780628144687,0.0040414209224807,0.000526135347197951,0.000755111699248354,0.000984246719598479,0.00122079516210596,0.00102249136591053,0.000704662299413248
"17","04:00 - 04:15",0.000643397258606263,0.000832145397484836,0.00402187045779204,0.000520083747768076,0.000746468502727848,0.000972698187920614,0.00121139535048071,0.00101487142596118,0.000698129732317199
"18","04:15 - 04:30",0.000636017041587437,0.000822600107164577,0.00400357966785707,0.000514239532948069,0.000737905986375535,0.000962711693200933,0.00120165503763917,0.00100714751179237,0.000691912650040312
"19","04:30 - 04:45",0.000630874966766242,0.000815949544329962,0.00398948799886516,0.000509996032830217,0.000731940159133736,0.000954099803442766,0.00119285834140552,0.00100040295455566,0.000686411371880418
"20","04:45 - 05:00",0.000626661186792972,0.00081049960253449,0.00398915822134813,0.00050641647048477,0.000727051338136448,0.000946058270300833,0.00118496133032756,0.000994603977410957,0.000681386192639794
"21","05:00 - 05:15",0.00062478055638026,0.000808067267112828,0.00398592126470716,0.000504578558200956,0.000724869433644964,0.000940153088103912,0.00118041009504803,0.00099220778447973,0.000678135807485474
"22","05:15 - 05:30",0.000622355491847938,0.000804930781431265,0.00396063342006605,0.000502315630289096,0.000722055877531309,0.000933570078498781,0.00117172707446777,0.000986534450179318,0.000673240238799798
"23","05:30 - 05:45",0.000622624857710444,0.000805279168931717,0.00392078190580342,0.000502013765677248,0.000722368395387704,0.000928969701384023,0.00116512202716967,0.000982441892376728,0.000669629783367389
"24","05:45 - 06:00",0.000624735066863593,0.000808008432712429,0.00387756369410953,0.000502898319873073,0.000724816656778196,0.000924245631067944,0.00116191507203931,0.000980860341215028,0.000667182466995214
"25","06:00 - 06:15",0.000633875303324643,0.000819830064839774,0.00388745273642399,0.000509013989443113,0.000735421144960875,0.000925798043438439,0.00116584112837826,0.000985090796871636,0.000668998974987723
"26","06:15 - 06:30",0.000641021149471795,0.000829072228841792,0.00393766413459194,0.000513620716399606,0.000743711744590944,0.000925329908086586,0.00116253667154021,0.000982755318973714,0.000667703836787034
"27","06:30 - 06:45",0.000647217950763087,0.000837086934538311,0.00402920253192282,0.000517628878851034,0.000750901263849439,0.000925051719619559,0.00115955066969626,0.000980606563528116,0.00066657389154667
"28","06:45 - 07:00",0.000649674522271375,0.000840264170137112,0.00414547948970854,0.000519053099314037,0.000753751374307802,0.000923353989257258,0.00115464207890495,0.000977226384367468,0.000664370584683472
