"date","value"
"2012-07-25",102.766019
"2012-07-26",99.504157
"2012-07-27",98.205515
"2012-07-28",94.608495
"2012-07-29",88.462242
"2012-07-30",71.126928
"2012-07-31",72.497318
"2012-08-01",84.058242
"2012-08-02",82.529542
"2012-08-03",92.115703
"2012-08-04",91.24334648
"2012-08-05",88.57786616
"2012-08-06",95.98317614
"2012-08-07",93.726628
"2012-08-08",91.840474
"2012-08-09",88.314279
"2012-08-10",83.597803
"2012-08-11",87.066049
"2012-08-12",82.231935
"2012-08-13",88.921691
"2012-08-14",86.410212
"2012-08-15",73.872436
"2012-08-16",87.313463
"2012-08-17",93.288794
"2012-08-18",92.696016
"2012-08-19",90.758908
"2012-08-20",89.431755
"2012-08-21",84.833981
"2012-08-22",83.774284
"2012-08-23",83.487647
"2012-08-24",83.722476
"2012-08-25",77.103245
"2012-08-26",74.153754
"2012-08-27",82.154403
"2012-08-28",81.195193
"2012-08-29",78.909089
"2012-08-30",81.38255902
"2012-08-31",83.33669588
"2012-09-01",86.8244674
"2012-09-02",83.254564
"2012-09-03",86.978415
"2012-09-04",86.48869
"2012-09-05",86.9315184
"2012-09-06",87.44091765
"2012-09-07",85.8347207
"2012-09-08",82.379765
"2012-09-09",81.980003
"2012-09-10",93.036144
"2012-09-11",94.60027
"2012-09-12",93.052867
"2012-09-13",94.525545
"2012-09-14",90.720905
"2012-09-15",83.753938
"2012-09-16",77.892189
"2012-09-17",84.42735
"2012-09-18",81.379517
"2012-09-19",82.42874
"2012-09-20",82.89201244
"2012-09-21",83.43382717
"2012-09-22",80.32905798
"2012-09-23",75.6717554
"2012-09-24",80.73734221
"2012-09-25",80.6928
"2012-09-26",80.854136
"2012-09-27",81.957874
"2012-09-28",81.321438
"2012-09-29",78.439284
"2012-09-30",73.55526
"2012-10-01",78.3594742
"2012-10-02",68.1811956
"2012-10-03",80.184786
"2012-10-04",79.746503
"2012-10-05",79.02429035
"2012-10-06",74.645834
"2012-10-07",70.012158
"2012-10-08",74.29355
"2012-10-09",73.518773
"2012-10-10",73.517462
"2012-10-11",73.316746
"2012-10-12",72.253682
"2012-10-13",69.965337
"2012-10-14",66.781581
"2012-10-15",71.847073
"2012-10-16",68.323325
"2012-10-17",68.587938
"2012-10-18",68.051792
"2012-10-19",66.956204
"2012-10-20",63.818563
"2012-10-21",59.263868
"2012-10-22",62.76321
"2012-10-23",60.133817
"2012-10-24",49.720543
"2012-10-25",55.734779
"2012-10-26",56.893132
"2012-10-27",52.8158324
"2012-10-28",50.8191292
"2012-10-29",54.105058
"2012-10-30",55.606832
"2012-10-31",56.98401128
"2012-11-01",56.9101482
"2012-11-02",57.491023
"2012-11-03",54.76373136
"2012-11-04",52.146513
"2012-11-05",55.085348
"2012-11-06",55.250492
"2012-11-07",55.585455
"2012-11-08",55.297197
"2012-11-09",57.226022
"2012-11-10",54.972996
"2012-11-11",54.1873
"2012-11-12",57.473884
"2012-11-13",51.457703
"2012-11-14",50.120479
"2012-11-15",51.987116
"2012-11-16",54.932677
"2012-11-17",52.982896
"2012-11-18",50.619099
"2012-11-19",52.719726
"2012-11-20",53.352102
"2012-11-21",54.199687
"2012-11-22",54.175121
"2012-11-23",54.981164
"2012-11-24",52.672842
"2012-11-25",50.964913
"2012-11-26",53.232318
"2012-11-27",53.57902172
"2012-11-28",52.5641346
"2012-11-29",53.74532496
"2012-11-30",53.6660784
"2012-12-01",52.807951
"2012-12-02",50.95839612
"2012-12-03",53.98625328
"2012-12-04",54.54876312
"2012-12-05",55.78400404
"2012-12-06",55.69130844
"2012-12-07",56.82472629
"2012-12-08",54.07363793
"2012-12-09",51.81792635
"2012-12-10",54.56508707
"2012-12-11",54.88333427
"2012-12-12",56.18993799
"2012-12-13",56.2431938
"2012-12-14",56.75638939
"2012-12-15",55.11425443
"2012-12-16",52.62701339
"2012-12-17",55.53792546
"2012-12-18",56.0727119
"2012-12-19",56.47363489
"2012-12-20",56.8563477
"2012-12-21",58.60515092
"2012-12-22",56.01838647
"2012-12-23",54.94644041
"2012-12-24",58.54275116
"2012-12-25",56.11625266
"2012-12-26",60.37360659
"2012-12-27",62.67267768
"2012-12-28",61.94893335
"2012-12-29",60.24160962
"2012-12-30",58.19913423
"2012-12-31",61.84681662
