Time,winter_in_Megawatts,summer_in_Megawatts,monsoon_in_Megawatts,fall_in_Megawatts
15:30 - 15:45,152.022857374262,250.375545825243,247.742191686098,161.390086796649
15:45 - 16:00,151.074123146857,248.784313980583,246.17148806291,160.467538818507
16:00 - 16:15,150.426890727032,247.381072038835,245.375257048417,159.452005485174
16:15 - 16:30,149.582880581259,244.320359223301,243.509263280301,157.923235867687
16:30 - 16:45,148.781991601668,241.561065825243,241.251592265808,156.836198490638
16:45 - 17:00,148.258344721201,238.074831067961,238.10145980204,155.281146687359
17:00 - 17:15,148.227511718286,232.625533203883,233.777409077402,154.12183499337
17:15 - 17:30,147.741848044816,225.378879417476,226.917900236823,152.921935321239
17:30 - 17:45,147.297654342192,216.612593786408,218.775292845518,152.323220567141
17:45 - 18:00,147.883166178927,207.743643883495,210.567339946968,152.295244173698
18:00 - 18:15,149.424461222659,199.824021747573,203.561770526678,152.440728326704
18:15 - 18:30,150.944579823242,192.959112815534,197.826833135373,151.507653135447
18:30 - 18:45,152.073129677469,188.266681359223,193.964439367257,149.932276742004
18:45 - 19:00,152.463624487965,185.466954563107,191.391697628127,148.162049856758
19:00 - 19:15,151.58482658709,183.407297864078,189.33319038175,145.600631496102
19:15 - 19:30,150.217656441318,181.005301747573,187.348601541171,142.777079146376
19:30 - 19:45,148.461420173096,178.850110679612,184.777921541171,139.85945226113
19:45 - 20:00,146.326013059394,175.621589320388,181.369901251315,136.733221222878
20:00 - 20:15,143.529122330531,171.176776504854,176.917198497692,133.059896632714
20:15 - 20:30,141.102981339277,167.765347378641,173.131083135373,130.020861004299
20:30 - 20:45,139.175077549189,165.147370679612,170.097224874504,127.521150403206
20:45 - 21:00,137.117190435487,162.651653398058,167.283878787547,125.208605485174
21:00 - 21:15,134.543501922367,159.843198640777,164.308691251315,122.392399583534
21:15 - 21:30,132.196192417994,157.902590097087,162.526892845518,119.88344657807
21:30 - 21:45,130.192326878636,156.721449126214,161.100806468707,117.920992370419
21:45 - 22:00,127.965109269306,155.820161359223,160.017923280301,115.924651605392
22:00 - 22:15,124.729954983592,154.504197087379,158.328175019431,113.226458599928
22:15 - 22:30,121.751132009831,153.492891067961,157.119125309286,110.657024720146
22:30 - 22:45,119.129538190589,152.853947378641,156.214316323779,108.673301222878
22:45 - 23:00,116.324083496711,151.772079417476,154.853639512185,106.480484173698
23:00 - 23:15,113.049157782426,149.849797864078,152.725714874504,103.94654078572
23:15 - 23:30,109.837953584175,148.123027378641,150.51411980204,101.443955649108
23:30 - 23:45,106.929617840735,146.039154757282,148.136739077402,99.0599895288894
23:45 - 24:00,104.107088977761,143.98193961165,145.7582874832,96.6173578349003
TOTAL IN Mus,3.15780266089696,4.30511909208738,4.39869894057505,3.03849600159934
