Time,winter_in_Megawatts,summer_in_Megawatts,monsoon_in_Megawatts,fall_in_Megawatts
08:45 - 09:00,723.636491078717,734.206463398058,754.611993965536,620.023807097869
09:00 - 09:15,723.912023323615,745.02510592233,763.538712806115,624.114765349235
09:15 - 09:30,727.57196606414,761.849371941748,780.236192951043,633.369288627923
09:30 - 09:45,730.717402915452,778.522509029126,797.125317878579,643.35254961153
09:45 - 10:00,730.760490145773,794.976618834951,812.019773820608,653.148840321912
10:00 - 10:15,729.161516268222,808.028371941748,828.857781066985,660.004934966721
10:15 - 10:30,725.455801632653,820.608394271845,840.713083530753,665.270926442131
10:30 - 10:45,720.530139825073,833.036142621359,852.623796139449,670.121033983115
10:45 - 11:00,713.863431253644,844.630081941748,862.409202081478,673.43514108694
11:00 - 11:15,705.689792699709,852.809758932039,871.360024400318,675.080501305519
11:15 - 11:30,697.691449889213,859.618895728155,877.402237009014,674.704090376557
11:30 - 11:45,688.819656816327,864.661465825243,883.169252661188,672.458850595136
11:45 - 12:00,680.333649819242,872.814026407767,888.693114835101,671.430807316448
12:00 - 12:15,669.830850005831,878.941270388349,892.356038168434,670.112289283661
12:15 - 12:30,660.072363801749,883.433258058252,893.225918168434,668.097277698962
12:30 - 12:45,648.970912139942,887.229136699029,894.011607733652,662.033378026831
12:45 - 13:00,634.002818145773,885.632496213592,892.882686748144,653.98021540388
13:00 - 13:15,610.847817212828,877.758640349515,882.531737530753,636.892267425738
13:15 - 13:30,595.78225735277,875.378696019417,878.895433327855,628.044689939399
13:30 - 13:45,589.914817026239,880.533893184466,881.738678487275,626.429825677104
13:45 - 14:00,588.636636011662,889.607049456311,892.346594081478,628.789987644317
14:00 - 14:15,586.467236361516,899.549183223301,902.669220893072,630.652513983115
14:15 - 14:30,583.024098122449,908.504262776699,910.263114255391,631.963562507705
14:30 - 14:45,580.382366180758,919.315660291262,919.203845965536,633.648822616994
14:45 - 15:00,577.110021854227,923.838913708738,925.303404458289,632.897619994044
15:00 - 15:15,574.062438204082,929.131827281553,930.780348139449,632.267918354699
15:15 - 15:30,569.795162962099,929.198878737864,929.178553037999,629.766202944863
15:30 - 15:45,567.021213014577,927.407943980583,930.083010574231,627.350590923005
15:45 - 16:00,567.186803381924,925.587785825243,927.574839472782,626.195463272732
16:00 - 16:15,569.535893970845,927.678272970874,927.705719153941,628.506227644317
16:15 - 16:30,571.883869620991,923.528719165049,926.417442603217,630.383746332841
16:30 - 16:45,577.33937103207,919.322211320388,926.317232806115,635.843957917541
16:45 - 17:00,586.582046134111,914.755098116505,925.595384110463,644.145459775464
17:00 - 17:15,600.537707568513,910.894332504854,924.223673298869,656.658718354699
17:15 - 17:30,615.396898542274,903.822285669903,920.527021559739,671.203439010437
17:30 - 17:45,635.493131358601,897.378834854369,918.208114545246,692.815369939399
17:45 - 18:00,657.261816139942,893.788864776699,918.425460922057,719.738416715355
18:00 - 18:15,678.169571918367,889.703204990291,918.847329037999,744.449340212623
18:15 - 18:30,697.015712116618,887.655280582524,920.312870487275,760.344652780929
18:30 - 18:45,711.415060034985,889.009972796116,924.342185559739,767.458771688033
18:45 - 19:00,719.428504396501,894.872176796116,932.215495124956,769.389903491311
19:00 - 19:15,720.418547638484,900.275322582524,937.33151019742,765.273358573279
19:15 - 19:30,716.616727580175,908.152869456311,944.459353385826,757.532503272732
19:30 - 19:45,707.553293644315,913.903186912621,949.703616284376,747.059786551421
19:45 - 20:00,696.895772244898,917.187529378641,952.357064835101,735.656601633388
20:00 - 20:15,681.816280466472,913.759916330097,947.150936719159,720.548888409344
20:15 - 20:30,668.972219825073,909.49220584466,942.090697588724,708.991946114262
20:30 - 20:45,655.972041399417,903.039473281553,936.796698023507,695.85262108694
