"day","hour","value"
1,1,0.0207471433962264
2,1,0.0207141346153846
3,1,0.0206381538461538
4,1,0.0207407115384615
5,1,0.0207578269230769
6,1,0.0208605961538462
7,1,0.0208305113207547
1,2,0.0200705981132075
2,2,0.0201416923076923
3,2,0.0200535384615385
4,2,0.0201149615384615
5,2,0.0201430769230769
6,2,0.0202148076923077
7,2,0.0200863132075472
1,3,0.019519741509434
2,3,0.0198576346153846
3,3,0.0198055384615385
4,3,0.0198094423076923
5,3,0.0198138653846154
6,3,0.0198798461538462
7,3,0.0197133962264151
1,4,0.0191910490566038
2,4,0.0197131730769231
3,4,0.0197266730769231
4,4,0.0196630576923077
5,4,0.0196825
6,4,0.0197693846153846
7,4,0.0195217698113208
1,5,0.0200083754716981
2,5,0.0204074807692308
3,5,0.02046325
4,5,0.0204265961538462
5,5,0.0205122692307692
6,5,0.0202608846153846
7,5,0.0198896339622642
1,6,0.024232220754717
2,6,0.0246245576923077
3,6,0.0242321153846154
4,6,0.0245080384615385
5,6,0.0247641153846154
6,6,0.0229296153846154
7,6,0.0215404886792453
1,7,0.0286919924528302
2,7,0.0291664423076923
3,7,0.0289643846153846
4,7,0.0288976538461538
5,7,0.0293915
6,7,0.02628325
7,7,0.0239095283018868
1,8,0.0303370056603774
2,8,0.0305596153846154
3,8,0.030645
4,8,0.0304885961538462
5,8,0.0309905384615385
6,8,0.0280909615384615
7,8,0.0260070641509434
1,9,0.0316267056603774
2,9,0.0317044615384615
3,9,0.0319192692307692
4,9,0.0317611153846154
5,9,0.0320946923076923
6,9,0.0290720192307692
7,9,0.0269136358490566
1,10,0.0328998830188679
2,10,0.0322963653846154
3,10,0.0324211346153846
4,10,0.0322563461538462
5,10,0.0326777692307692
6,10,0.0291584230769231
7,10,0.0272813056603774
1,11,0.0325965773584906
2,11,0.0318733269230769
3,11,0.0318241538461538
4,11,0.0317056346153846
5,11,0.0322744038461538
6,11,0.0284712307692308
7,11,0.0266198358490566
1,12,0.0318880169811321
2,12,0.03103475
3,12,0.0310171346153846
4,12,0.0308192307692308
5,12,0.0315533846153846
6,12,0.0277578076923077
7,12,0.0257795226415094
1,13,0.0316211509433962
2,13,0.0306562884615385
3,13,0.0305618269230769
4,13,0.03050125
5,13,0.0310971538461538
6,13,0.027195
7,13,0.0249898679245283
1,14,0.0298851320754717
2,14,0.0286215769230769
3,14,0.0291126923076923
4,14,0.0291971153846154
5,14,0.0296069807692308
6,14,0.02541725
7,14,0.0233437924528302
1,15,0.0281015283018868
2,15,0.0272890961538462
3,15,0.0268638269230769
4,15,0.0274075192307692
5,15,0.0279013269230769
6,15,0.0227744230769231
7,15,0.0214163962264151
1,16,0.0267771320754717
2,16,0.0265240769230769
3,16,0.0252339423076923
4,16,0.0263119807692308
5,16,0.0267758076923077
6,16,0.0214231730769231
7,16,0.0207099830188679
1,17,0.0266753396226415
2,17,0.0268014615384615
3,17,0.0253590961538462
4,17,0.0263349038461538
5,17,0.0265793653846154
6,17,0.0219906153846154
7,17,0.0217377301886792
1,18,0.0279711320754717
2,18,0.0279725384615385
3,18,0.0270764423076923
4,18,0.02781425
5,18,0.0275650384615385
6,18,0.0247689807692308
7,18,0.0245094924528302
1,19,0.0293255094339623
2,19,0.0289525192307692
3,19,0.0286528076923077
4,19,0.0290297115384615
5,19,0.0288730961538462
6,19,0.0273406346153846
7,19,0.0268443320754717
1,20,0.0306021509433962
2,20,0.0300553076923077
3,20,0.0302057307692308
4,20,0.0302704807692308
5,20,0.0302997692307692
6,20,0.029256
7,20,0.0288981981132075
1,21,0.0308542452830189
2,21,0.0303643269230769
3,21,0.0305978653846154
4,21,0.0307045576923077
5,21,0.0304934038461538
6,21,0.0295078846153846
7,21,0.0297993301886792
1,22,0.0289196603773585
2,22,0.0284027884615385
3,22,0.0285999038461538
4,22,0.0286803846153846
5,22,0.028481
6,22,0.0277514615384615
7,22,0.0282700037735849
1,23,0.0252524716981132
2,23,0.0248568653846154
3,23,0.0250784423076923
4,23,0.0250140576923077
5,23,0.0251381346153846
6,23,0.0248445961538462
7,23,0.0249996113207547
1,24,0.0222469622641509
2,24,0.0219682115384615
3,24,0.0221783076923077
4,24,0.0220918461538462
5,24,0.0223035576923077
6,24,0.0222279423076923
7,24,0.0220626867924528
